Produto;Descricao;Categoria;EstoqueAtual;CustoUnitario
PC002796;FEIXE DE MOLA STD ORIGINAL;SUSPENSAO;27,0;129,42
PC002797;CORREIA DENTADA  PARALELA A;MOTOR;23,0;1676,01
PC002798;ROLAMENTO DE RODA PESADO PARALELA A;RODAS_PNEUS;18,0;909,63
PC002799;SINCRONIZADOR PESADO PARALELA A;TRANSMISSAO;23,0;3216,38
PC002800;BOLSA DE AR SUSPENSAO  REMANUFATURADO;SUSPENSAO;6,0;990,48
PC002801;MANGUEIRA DE FREIO AR LEVE ORIGINAL;FREIOS;4,0;111,66
PC002802;FILTRO SEPARADOR AGUA LEVE PARALELA B;FILTROS;5,0;111,36
PC002803;LONA DE FREIO LEVE PARALELA A;FREIOS;13,0;153,96
PC002804;CRUZETA CARDAN  PARALELA A;TRANSMISSAO;11,0;3174,22
PC002805;PARA-CHOQUE DIANTEIRO LEVE PARALELA B;CARROCERIA;30,0;793,48
PC002806;VALVULA DE FREIO LEVE PARALELA B;FREIOS;1,0;235,41
PC002807;FAROL DIANTEIRO LED LEVE ORIGINAL;ELETRICA;9,0;261,24
PC002808;BARRA ESTABILIZADORA REFORCADO ORIGINAL;SUSPENSAO;21,0;566,25
PC002809;AMORTECEDOR TRASEIRO LEVE REMANUFATURADO;SUSPENSAO;15,0;143,84
PC002810;FILTRO DE CABINE PESADO PARALELA B;FILTROS;20,0;58,49
PC002811;ENGATE DE REBOQUE PESADO PARALELA B;ARTICULACAO_5RODA;26,0;1270,14
PC002812;DISCO DE EMBREAGEM STD PARALELA A;TRANSMISSAO;9,0;3470,94
PC002814;BICO INJETOR LEVE PARALELA B;MOTOR;1,0;5362,31
PC002815;BUCHA DE MOLA REFORCADO ORIGINAL;SUSPENSAO;18,0;247,9
PC002816;VENTOINHA PESADO PARALELA A;ARREFECIMENTO;2,0;133,6
PC002817;CAMISA DE CILINDRO STD PARALELA A;MOTOR;419,0;2994,94
PC002818;BOMBA INJETORA REFORCADO PARALELA A;MOTOR;93,0;2198,9
PC002819;TAMBOR DE FREIO LEVE PARALELA B;FREIOS;21,0;84,9
PC002820;ROLAMENTO DE EMBREAGEM  PARALELA A;TRANSMISSAO;1,0;5332,41
PC002821;PINO REI STD ORIGINAL;ARTICULACAO_5RODA;42,0;2044,1
PC002823;VALVULA DE ADMISSAO LEVE ORIGINAL;MOTOR;70,0;4197,79
PC002824;PNEU RADIAL 295/80 STD PARALELA A;RODAS_PNEUS;38,0;1116,41
PC002825;MACANETA DE PORTA REFORCADO PARALELA B;CARROCERIA;41,0;105,94
PC002826;CUBO DE RODA PESADO PARALELA B;RODAS_PNEUS;7,0;398,37
PC002827;BOMBA D AGUA REFORCADO REMANUFATURADO;ARREFECIMENTO;15,0;913,06
PC002828;PASTILHA DE FREIO REFORCADO ORIGINAL;FREIOS;3,0;57,03
PC002829;CAIXA DE CAMBIO COMPLETA LEVE ORIGINAL;TRANSMISSAO;9,0;6241,94
PC002830;ALTERNADOR  ORIGINAL;ELETRICA;208,0;471,36
PC002831;LANTERNA TRASEIRA STD PARALELA A;ELETRICA;129,0;1395,98
PC002832;MOTOR DE PARTIDA STD REMANUFATURADO;ELETRICA;3,0;128,09
PC002833;JUNTA DE CABECOTE  PARALELA B;MOTOR;73,0;3216,33
PC002834;SENSOR ABS LEVE PARALELA A;ELETRICA;16,0;494,82
PC002835;RESERVATORIO EXPANSAO LEVE ORIGINAL;ARREFECIMENTO;115,0;609,96
PC002836;TURBO COMPRESSOR STD PARALELA B;MOTOR;154,0;4052,95
PC002837;MANGUEIRA RADIADOR STD PARALELA A;ARREFECIMENTO;24,0;121,16
PC002838;PINO MESTRE REFORCADO PARALELA A;SUSPENSAO;26,0;780,46
PC002839;QUINTA RODA COMPLETA PESADO ORIGINAL;ARTICULACAO_5RODA;33,0;442,25
PC002840;EIXO CARDAN PESADO ORIGINAL;TRANSMISSAO;6,0;4372,2
PC002842;FILTRO DE OLEO MOTOR PESADO PARALELA B;MOTOR;45,0;4646,02
PC002843;BATERIA 150AH STD PARALELA A;ELETRICA;35,0;327,61
PC002844;DISCO DE FREIO STD ORIGINAL;FREIOS;5,0;136,58
PC002845;CILINDRO MESTRE REFORCADO ORIGINAL;FREIOS;2,0;366,02
PC002847;PARAFUSO DE RODA REFORCADO ORIGINAL;RODAS_PNEUS;7,0;963,36
PC002848;RADIADOR COMPLETO STD REMANUFATURADO;ARREFECIMENTO;53,0;634,13
PC002849;FILTRO DE OLEO CAMBIO STD REMANUFATURADO;FILTROS;3,0;63,4
PC002850;ESPELHO RETROVISOR  PARALELA A;CARROCERIA;15,0;549,11
PC002851;RODA DE ACO ARO 22 STD PARALELA B;RODAS_PNEUS;11,0;457,18
PC002852;VIDRO LATERAL  PARALELA A;CARROCERIA;18,0;446,57
PC002853;MANGOTE PNEUMATICO  ORIGINAL;ARTICULACAO_5RODA;1,0;2623,01
PC002854;PARA-BRISA REFORCADO PARALELA B;CARROCERIA;1,0;627,61
PC002855;AMORTECEDOR DIANTEIRO PESADO REMANUFATURADO;SUSPENSAO;42,0;372,67
PC002856;FILTRO DE COMBUSTIVEL PESADO ORIGINAL;FILTROS;8,0;44,84
PC002857;FILTRO DE AR MOTOR REFORCADO PARALELA A;FILTROS;1,0;86,5
PC002858;VALVULA TERMOSTATICA PESADO ORIGINAL;ARREFECIMENTO;19,0;369,17
PC002859;CAMARA DE AR REFORCADO PARALELA B;RODAS_PNEUS;108,0;639,78
PC002861;CORREIA DENTADA PESADO PARALELA A;MOTOR;17,0;812,47
PC002862;ROLAMENTO DE RODA REFORCADO ORIGINAL;RODAS_PNEUS;41,0;105,09
PC002863;SINCRONIZADOR  ORIGINAL;TRANSMISSAO;3,0;2863,25
PC002864;BOLSA DE AR SUSPENSAO REFORCADO ORIGINAL;SUSPENSAO;3,0;1213,49
PC002865;MANGUEIRA DE FREIO AR  ORIGINAL;FREIOS;9,0;129,38
PC002866;FILTRO SEPARADOR AGUA STD PARALELA A;FILTROS;2,0;117,87
PC002868;CRUZETA CARDAN LEVE ORIGINAL;TRANSMISSAO;18,0;7562,3
PC002869;PARA-CHOQUE DIANTEIRO STD PARALELA A;CARROCERIA;10,0;716,49
PC002871;FAROL DIANTEIRO LED PESADO ORIGINAL;ELETRICA;8,0;1019,55
PC002872;BARRA ESTABILIZADORA PESADO PARALELA A;SUSPENSAO;9,0;756,03
PC002873;AMORTECEDOR TRASEIRO PESADO REMANUFATURADO;SUSPENSAO;6,0;306,28
PC002875;ENGATE DE REBOQUE  ORIGINAL;ARTICULACAO_5RODA;64,0;2164,06
PC002876;DISCO DE EMBREAGEM REFORCADO REMANUFATURADO;TRANSMISSAO;8,0;1250,86
PC002877;SAPATA DE FREIO STD PARALELA A;FREIOS;3,0;107,91
PC002878;BICO INJETOR LEVE PARALELA A;MOTOR;15,0;2209,03
PC002879;BUCHA DE MOLA LEVE PARALELA A;SUSPENSAO;5,0;407,05
PC002880;VENTOINHA STD ORIGINAL;ARREFECIMENTO;55,0;131,24
PC002881;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;7,0;4669,23
PC002882;BOMBA INJETORA PESADO ORIGINAL;MOTOR;1,0;1995,5
PC002883;TAMBOR DE FREIO  REMANUFATURADO;FREIOS;31,0;270,97
PC002884;ROLAMENTO DE EMBREAGEM STD REMANUFATURADO;TRANSMISSAO;1,0;5429,74
PC002885;PINO REI REFORCADO ORIGINAL;ARTICULACAO_5RODA;15,0;1781,08
PC002887;VALVULA DE ADMISSAO LEVE ORIGINAL;MOTOR;1,0;316,24
PC002888;PNEU RADIAL 295/80  PARALELA B;RODAS_PNEUS;26,0;1796,91
PC002889;MACANETA DE PORTA PESADO PARALELA B;CARROCERIA;23,0;273,64
PC002890;CUBO DE RODA REFORCADO PARALELA A;RODAS_PNEUS;46,0;1796,11
PC002891;BOMBA D AGUA PESADO PARALELA A;ARREFECIMENTO;115,0;156,66
PC002892;PASTILHA DE FREIO REFORCADO ORIGINAL;FREIOS;2,0;165,69
PC002893;CAIXA DE CAMBIO COMPLETA PESADO ORIGINAL;TRANSMISSAO;100,0;3365,64
PC002894;ALTERNADOR STD PARALELA B;ELETRICA;7,0;103,62
PC002895;LANTERNA TRASEIRA STD PARALELA A;ELETRICA;3,0;597,69
PC002896;MOTOR DE PARTIDA LEVE PARALELA A;ELETRICA;94,0;1445,56
PC002897;JUNTA DE CABECOTE LEVE ORIGINAL;MOTOR;5,0;288,46
PC002898;SENSOR ABS STD PARALELA A;ELETRICA;118,0;1118,69
PC002899;RESERVATORIO EXPANSAO LEVE ORIGINAL;ARREFECIMENTO;23,0;495,46
PC002900;TURBO COMPRESSOR  PARALELA B;MOTOR;14,0;5565,02
PC002901;MANGUEIRA RADIADOR  ORIGINAL;ARREFECIMENTO;55,0;364,87
PC002902;PINO MESTRE PESADO ORIGINAL;SUSPENSAO;128,0;545,27
PC002903;QUINTA RODA COMPLETA STD PARALELA A;ARTICULACAO_5RODA;64,0;1034,2
PC002904;EIXO CARDAN LEVE ORIGINAL;TRANSMISSAO;27,0;4265,63
PC002905;PLATO DE EMBREAGEM LEVE PARALELA B;TRANSMISSAO;49,0;2581,4
PC002906;FILTRO DE OLEO MOTOR  PARALELA A;MOTOR;67,0;4004,34
PC002907;BATERIA 150AH PESADO REMANUFATURADO;ELETRICA;56,0;402,64
PC002908;DISCO DE FREIO REFORCADO ORIGINAL;FREIOS;15,0;360,05
PC002909;CILINDRO MESTRE  PARALELA B;FREIOS;3,0;326,15
PC002910;CHICOTE ELETRICO  PARALELA A;ELETRICA;15,0;866,88
PC002911;PARAFUSO DE RODA LEVE PARALELA B;RODAS_PNEUS;10,0;277,24
PC002912;RADIADOR COMPLETO REFORCADO ORIGINAL;ARREFECIMENTO;10,0;364,78
PC002913;FILTRO DE OLEO CAMBIO STD PARALELA A;FILTROS;30,0;22,02
PC002914;ESPELHO RETROVISOR LEVE PARALELA B;CARROCERIA;6,0;290,21
PC002915;RODA DE ACO ARO 22 STD ORIGINAL;RODAS_PNEUS;109,0;1913,63
PC002916;VIDRO LATERAL STD PARALELA A;CARROCERIA;71,0;409,03
PC002917;MANGOTE PNEUMATICO REFORCADO PARALELA B;ARTICULACAO_5RODA;13,0;1653,67
PC002918;PARA-BRISA  PARALELA B;CARROCERIA;5,0;1021,83
PC002919;AMORTECEDOR DIANTEIRO STD ORIGINAL;SUSPENSAO;37,0;1094,36
PC002920;FILTRO DE COMBUSTIVEL STD PARALELA A;FILTROS;14,0;16,28
PC002921;FILTRO DE AR MOTOR STD PARALELA B;FILTROS;6,0;21,43
PC002922;VALVULA TERMOSTATICA REFORCADO PARALELA B;ARREFECIMENTO;109,0;826,87
PC002923;CAMARA DE AR REFORCADO ORIGINAL;RODAS_PNEUS;199,0;1234,53
PC002924;FEIXE DE MOLA LEVE PARALELA A;SUSPENSAO;71,0;669,46
PC002925;CORREIA DENTADA REFORCADO PARALELA A;MOTOR;6,0;3075,95
PC002926;ROLAMENTO DE RODA PESADO ORIGINAL;RODAS_PNEUS;1,0;680,71
PC002927;SINCRONIZADOR  ORIGINAL;TRANSMISSAO;25,0;2271,28
PC002928;BOLSA DE AR SUSPENSAO REFORCADO REMANUFATURADO;SUSPENSAO;0,0;1139,86
PC002929;MANGUEIRA DE FREIO AR STD PARALELA B;FREIOS;3,0;321,83
PC002930;FILTRO SEPARADOR AGUA LEVE ORIGINAL;FILTROS;8,0;44,62
PC002931;LONA DE FREIO PESADO PARALELA A;FREIOS;4,0;134,84
PC002932;CRUZETA CARDAN REFORCADO REMANUFATURADO;TRANSMISSAO;27,0;3747,97
PC002933;PARA-CHOQUE DIANTEIRO LEVE REMANUFATURADO;CARROCERIA;28,0;241,77
PC002934;VALVULA DE FREIO STD ORIGINAL;FREIOS;55,0;292,36
PC002935;FAROL DIANTEIRO LED PESADO REMANUFATURADO;ELETRICA;20,0;1066,69
PC002936;BARRA ESTABILIZADORA  ORIGINAL;SUSPENSAO;6,0;861,89
PC002937;AMORTECEDOR TRASEIRO REFORCADO REMANUFATURADO;SUSPENSAO;13,0;948,65
PC002938;FILTRO DE CABINE LEVE PARALELA B;FILTROS;9,0;83,55
PC002939;ENGATE DE REBOQUE LEVE PARALELA B;ARTICULACAO_5RODA;8,0;806,93
PC002940;DISCO DE EMBREAGEM REFORCADO ORIGINAL;TRANSMISSAO;4,0;3418,86
PC002941;SAPATA DE FREIO STD ORIGINAL;FREIOS;10,0;271,62
PC002942;BICO INJETOR PESADO PARALELA A;MOTOR;3,0;4584,1
PC002944;VENTOINHA  ORIGINAL;ARREFECIMENTO;7,0;796,47
PC002945;CAMISA DE CILINDRO PESADO ORIGINAL;MOTOR;0,0;4154,69
PC002946;BOMBA INJETORA  PARALELA B;MOTOR;3,0;1151,06
PC002947;TAMBOR DE FREIO REFORCADO REMANUFATURADO;FREIOS;28,0;268,97
PC002948;ROLAMENTO DE EMBREAGEM REFORCADO ORIGINAL;TRANSMISSAO;133,0;1800,9
PC002949;PINO REI REFORCADO PARALELA A;ARTICULACAO_5RODA;2,0;2999,73
PC002950;PARA-LAMA  PARALELA A;CARROCERIA;6,0;465,26
PC002951;VALVULA DE ADMISSAO REFORCADO PARALELA B;MOTOR;15,0;3928,08
PC002952;PNEU RADIAL 295/80 STD ORIGINAL;RODAS_PNEUS;6,0;686,8
PC002953;MACANETA DE PORTA LEVE REMANUFATURADO;CARROCERIA;62,0;419,54
PC002954;CUBO DE RODA STD REMANUFATURADO;RODAS_PNEUS;11,0;1244,22
PC002955;BOMBA D AGUA  PARALELA A;ARREFECIMENTO;1,0;484,69
PC002956;PASTILHA DE FREIO  ORIGINAL;FREIOS;9,0;151,75
PC002957;CAIXA DE CAMBIO COMPLETA REFORCADO REMANUFATURADO;TRANSMISSAO;35,0;5486,52
PC002958;ALTERNADOR LEVE PARALELA B;ELETRICA;117,0;54,01
PC002959;LANTERNA TRASEIRA LEVE PARALELA A;ELETRICA;0,0;1430,92
PC002960;MOTOR DE PARTIDA REFORCADO ORIGINAL;ELETRICA;10,0;390,52
PC002961;JUNTA DE CABECOTE LEVE ORIGINAL;MOTOR;48,0;1270,52
PC002962;SENSOR ABS LEVE PARALELA B;ELETRICA;7,0;852,48
PC002963;RESERVATORIO EXPANSAO  PARALELA B;ARREFECIMENTO;32,0;533,01
PC002964;TURBO COMPRESSOR  PARALELA A;MOTOR;20,0;4871,27
PC002965;MANGUEIRA RADIADOR  PARALELA A;ARREFECIMENTO;7,0;598,98
PC002966;PINO MESTRE LEVE PARALELA A;SUSPENSAO;6,0;470,43
PC002967;QUINTA RODA COMPLETA REFORCADO ORIGINAL;ARTICULACAO_5RODA;5,0;3193,79
PC002968;EIXO CARDAN  PARALELA A;TRANSMISSAO;5,0;6464,03
PC002969;PLATO DE EMBREAGEM LEVE PARALELA A;TRANSMISSAO;1,0;2833,79
PC002970;FILTRO DE OLEO MOTOR REFORCADO ORIGINAL;MOTOR;16,0;912,07
PC002971;BATERIA 150AH LEVE PARALELA A;ELETRICA;9,0;991,68
PC002972;DISCO DE FREIO  PARALELA A;FREIOS;117,0;325,68
PC002973;CILINDRO MESTRE STD ORIGINAL;FREIOS;13,0;291,33
PC002974;CHICOTE ELETRICO  PARALELA A;ELETRICA;27,0;80,34
PC002975;PARAFUSO DE RODA LEVE REMANUFATURADO;RODAS_PNEUS;61,0;1457,57
PC002976;RADIADOR COMPLETO STD REMANUFATURADO;ARREFECIMENTO;4,0;290,99
PC002977;FILTRO DE OLEO CAMBIO REFORCADO ORIGINAL;FILTROS;22,0;94,46
PC002978;ESPELHO RETROVISOR STD ORIGINAL;CARROCERIA;6,0;874,52
PC002979;RODA DE ACO ARO 22 LEVE PARALELA A;RODAS_PNEUS;66,0;1406,28
PC002980;VIDRO LATERAL PESADO PARALELA B;CARROCERIA;32,0;247,57
PC002981;MANGOTE PNEUMATICO PESADO ORIGINAL;ARTICULACAO_5RODA;96,0;1393,56
PC002982;PARA-BRISA REFORCADO PARALELA A;CARROCERIA;16,0;816,54
PC002983;AMORTECEDOR DIANTEIRO REFORCADO REMANUFATURADO;SUSPENSAO;3,0;1069,47
PC002984;FILTRO DE COMBUSTIVEL STD PARALELA B;FILTROS;25,0;26,09
PC002985;FILTRO DE AR MOTOR REFORCADO REMANUFATURADO;FILTROS;1,0;79,8
PC002986;VALVULA TERMOSTATICA REFORCADO PARALELA A;ARREFECIMENTO;47,0;496,35
PC002987;CAMARA DE AR REFORCADO ORIGINAL;RODAS_PNEUS;1,0;431,45
PC002988;FEIXE DE MOLA LEVE PARALELA B;SUSPENSAO;10,0;176,11
PC002989;CORREIA DENTADA REFORCADO PARALELA A;MOTOR;26,0;2610,97
PC002990;ROLAMENTO DE RODA STD ORIGINAL;RODAS_PNEUS;8,0;110,87
PC002991;SINCRONIZADOR PESADO REMANUFATURADO;TRANSMISSAO;6,0;2062,7
PC002992;BOLSA DE AR SUSPENSAO PESADO PARALELA A;SUSPENSAO;5,0;349,6
PC002994;FILTRO SEPARADOR AGUA STD ORIGINAL;FILTROS;1,0;36,26
PC002995;LONA DE FREIO REFORCADO ORIGINAL;FREIOS;45,0;418,58
PC002996;CRUZETA CARDAN STD ORIGINAL;TRANSMISSAO;140,0;1695,59
PC002997;PARA-CHOQUE DIANTEIRO REFORCADO PARALELA A;CARROCERIA;42,0;136,64
PC002998;VALVULA DE FREIO PESADO PARALELA A;FREIOS;9,0;241,76
PC002999;FAROL DIANTEIRO LED STD PARALELA B;ELETRICA;28,0;1255,93
PC003000;BARRA ESTABILIZADORA REFORCADO ORIGINAL;SUSPENSAO;334,0;1181,79
PC003001;AMORTECEDOR TRASEIRO STD PARALELA B;SUSPENSAO;2,0;916,63
PC003002;FILTRO DE CABINE REFORCADO ORIGINAL;FILTROS;24,0;61,86
PC003003;ENGATE DE REBOQUE  PARALELA A;ARTICULACAO_5RODA;47,0;2379,26
PC003004;DISCO DE EMBREAGEM  PARALELA A;TRANSMISSAO;145,0;5112,11
PC003005;SAPATA DE FREIO STD PARALELA A;FREIOS;5,0;226,75
PC003006;BICO INJETOR REFORCADO ORIGINAL;MOTOR;83,0;1434,95
PC003007;BUCHA DE MOLA STD PARALELA A;SUSPENSAO;47,0;551,61
PC003008;VENTOINHA PESADO ORIGINAL;ARREFECIMENTO;5,0;365,87
PC003009;CAMISA DE CILINDRO  REMANUFATURADO;MOTOR;4,0;464,07
PC003011;TAMBOR DE FREIO LEVE PARALELA B;FREIOS;58,0;322,87
PC003012;ROLAMENTO DE EMBREAGEM PESADO ORIGINAL;TRANSMISSAO;16,0;8474,19
PC003013;PINO REI LEVE PARALELA A;ARTICULACAO_5RODA;66,0;550,58
PC003014;PARA-LAMA  PARALELA A;CARROCERIA;51,0;624,94
PC003015;VALVULA DE ADMISSAO  REMANUFATURADO;MOTOR;1,0;4583,55
PC003016;PNEU RADIAL 295/80 PESADO ORIGINAL;RODAS_PNEUS;93,0;382,9
PC003017;MACANETA DE PORTA STD ORIGINAL;CARROCERIA;1,0;602,89
PC003018;CUBO DE RODA STD PARALELA A;RODAS_PNEUS;12,0;78,28
PC003019;BOMBA D AGUA PESADO PARALELA B;ARREFECIMENTO;240,0;540,14
PC003020;PASTILHA DE FREIO  PARALELA A;FREIOS;15,0;86,75
PC003021;CAIXA DE CAMBIO COMPLETA LEVE PARALELA A;TRANSMISSAO;7,0;1955,93
PC003022;ALTERNADOR LEVE PARALELA A;ELETRICA;7,0;385,22
PC003023;LANTERNA TRASEIRA LEVE PARALELA B;ELETRICA;56,0;954,52
PC003024;MOTOR DE PARTIDA REFORCADO ORIGINAL;ELETRICA;3,0;505,6
PC003025;JUNTA DE CABECOTE STD PARALELA B;MOTOR;15,0;204,75
PC003026;SENSOR ABS LEVE PARALELA B;ELETRICA;175,0;466,01
PC003027;RESERVATORIO EXPANSAO REFORCADO PARALELA B;ARREFECIMENTO;6,0;654,85
PC003028;TURBO COMPRESSOR PESADO PARALELA A;MOTOR;7,0;2387,5
PC003029;MANGUEIRA RADIADOR  PARALELA B;ARREFECIMENTO;13,0;183,0
PC003030;PINO MESTRE LEVE PARALELA A;SUSPENSAO;42,0;533,09
PC003031;QUINTA RODA COMPLETA LEVE PARALELA A;ARTICULACAO_5RODA;10,0;578,28
PC003032;EIXO CARDAN REFORCADO REMANUFATURADO;TRANSMISSAO;43,0;4149,12
PC003033;PLATO DE EMBREAGEM PESADO ORIGINAL;TRANSMISSAO;6,0;4706,3
PC003034;FILTRO DE OLEO MOTOR REFORCADO PARALELA A;MOTOR;31,0;3984,41
PC003035;BATERIA 150AH PESADO ORIGINAL;ELETRICA;6,0;1067,1
PC003036;DISCO DE FREIO  PARALELA B;FREIOS;154,0;280,42
PC003037;CILINDRO MESTRE PESADO PARALELA A;FREIOS;24,0;378,17
PC003038;CHICOTE ELETRICO LEVE ORIGINAL;ELETRICA;27,0;455,74
PC003039;PARAFUSO DE RODA  PARALELA B;RODAS_PNEUS;63,0;1328,91
PC003041;FILTRO DE OLEO CAMBIO LEVE REMANUFATURADO;FILTROS;11,0;108,86
PC003042;ESPELHO RETROVISOR  PARALELA A;CARROCERIA;15,0;524,05
PC003043;RODA DE ACO ARO 22 STD ORIGINAL;RODAS_PNEUS;2,0;1248,76
PC003044;VIDRO LATERAL REFORCADO PARALELA B;CARROCERIA;77,0;221,85
PC003045;MANGOTE PNEUMATICO STD PARALELA B;ARTICULACAO_5RODA;34,0;729,02
PC003046;PARA-BRISA LEVE REMANUFATURADO;CARROCERIA;3,0;123,37
PC003047;AMORTECEDOR DIANTEIRO PESADO PARALELA B;SUSPENSAO;37,0;416,03
PC003048;FILTRO DE COMBUSTIVEL REFORCADO PARALELA A;FILTROS;91,0;43,91
PC003049;FILTRO DE AR MOTOR  PARALELA A;FILTROS;23,0;36,45
PC003050;VALVULA TERMOSTATICA PESADO PARALELA A;ARREFECIMENTO;10,0;741,34
PC003051;CAMARA DE AR LEVE PARALELA A;RODAS_PNEUS;10,0;138,33
PC003052;FEIXE DE MOLA REFORCADO PARALELA B;SUSPENSAO;26,0;445,75
PC003053;CORREIA DENTADA LEVE ORIGINAL;MOTOR;26,0;3724,77
PC003054;ROLAMENTO DE RODA REFORCADO ORIGINAL;RODAS_PNEUS;80,0;743,69
PC003055;SINCRONIZADOR STD ORIGINAL;TRANSMISSAO;116,0;7204,26
PC003056;BOLSA DE AR SUSPENSAO REFORCADO PARALELA B;SUSPENSAO;0,0;184,29
PC003057;MANGUEIRA DE FREIO AR STD ORIGINAL;FREIOS;26,0;105,23
PC003058;FILTRO SEPARADOR AGUA  ORIGINAL;FILTROS;10,0;69,34
PC003059;LONA DE FREIO  PARALELA A;FREIOS;68,0;391,7
PC003060;CRUZETA CARDAN REFORCADO ORIGINAL;TRANSMISSAO;19,0;421,71
PC003061;PARA-CHOQUE DIANTEIRO LEVE ORIGINAL;CARROCERIA;12,0;305,37
PC003062;VALVULA DE FREIO  PARALELA A;FREIOS;1,0;329,31
PC003063;FAROL DIANTEIRO LED LEVE PARALELA A;ELETRICA;187,0;1134,91
PC003064;BARRA ESTABILIZADORA REFORCADO PARALELA B;SUSPENSAO;17,0;388,12
PC003065;AMORTECEDOR TRASEIRO LEVE ORIGINAL;SUSPENSAO;22,0;239,49
PC003066;FILTRO DE CABINE REFORCADO PARALELA B;FILTROS;8,0;75,56
PC003067;ENGATE DE REBOQUE  PARALELA B;ARTICULACAO_5RODA;17,0;3093,14
PC003068;DISCO DE EMBREAGEM REFORCADO ORIGINAL;TRANSMISSAO;72,0;3124,14
PC003069;SAPATA DE FREIO PESADO ORIGINAL;FREIOS;10,0;73,46
PC003070;BICO INJETOR STD PARALELA B;MOTOR;6,0;563,31
PC003072;VENTOINHA LEVE ORIGINAL;ARREFECIMENTO;11,0;670,04
PC003073;CAMISA DE CILINDRO STD PARALELA B;MOTOR;103,0;775,36
PC003074;BOMBA INJETORA LEVE ORIGINAL;MOTOR;2,0;280,72
PC003075;TAMBOR DE FREIO STD ORIGINAL;FREIOS;16,0;190,26
PC003076;ROLAMENTO DE EMBREAGEM PESADO PARALELA B;TRANSMISSAO;5,0;4504,54
PC003077;PINO REI REFORCADO PARALELA A;ARTICULACAO_5RODA;7,0;1408,94
PC003078;PARA-LAMA PESADO ORIGINAL;CARROCERIA;5,0;62,76
PC003079;VALVULA DE ADMISSAO STD PARALELA A;MOTOR;14,0;4786,08
PC003080;PNEU RADIAL 295/80 LEVE PARALELA B;RODAS_PNEUS;21,0;1951,45
PC003082;CUBO DE RODA PESADO PARALELA A;RODAS_PNEUS;18,0;1404,63
PC003083;BOMBA D AGUA STD ORIGINAL;ARREFECIMENTO;334,0;833,6
PC003084;PASTILHA DE FREIO REFORCADO PARALELA A;FREIOS;1,0;182,14
PC003085;CAIXA DE CAMBIO COMPLETA STD REMANUFATURADO;TRANSMISSAO;5,0;1421,09
PC003086;ALTERNADOR PESADO ORIGINAL;ELETRICA;28,0;738,33
PC003087;LANTERNA TRASEIRA  PARALELA A;ELETRICA;6,0;661,26
PC003088;MOTOR DE PARTIDA REFORCADO PARALELA A;ELETRICA;3,0;1402,69
PC003089;JUNTA DE CABECOTE PESADO ORIGINAL;MOTOR;17,0;4761,6
PC003090;SENSOR ABS PESADO PARALELA B;ELETRICA;10,0;1078,9
PC003091;RESERVATORIO EXPANSAO PESADO REMANUFATURADO;ARREFECIMENTO;204,0;370,12
PC003092;TURBO COMPRESSOR REFORCADO ORIGINAL;MOTOR;8,0;2965,4
PC003093;MANGUEIRA RADIADOR REFORCADO PARALELA B;ARREFECIMENTO;7,0;175,53
PC003094;PINO MESTRE STD ORIGINAL;SUSPENSAO;3,0;579,45
PC003095;QUINTA RODA COMPLETA PESADO PARALELA B;ARTICULACAO_5RODA;10,0;1259,47
PC003096;EIXO CARDAN STD ORIGINAL;TRANSMISSAO;4,0;5837,25
PC003097;PLATO DE EMBREAGEM  ORIGINAL;TRANSMISSAO;1,0;2632,32
PC003098;FILTRO DE OLEO MOTOR PESADO ORIGINAL;MOTOR;41,0;2446,04
PC003099;BATERIA 150AH  ORIGINAL;ELETRICA;1,0;413,46
PC003101;CILINDRO MESTRE  ORIGINAL;FREIOS;120,0;320,4
PC003102;CHICOTE ELETRICO LEVE ORIGINAL;ELETRICA;171,0;756,45
PC003103;PARAFUSO DE RODA LEVE PARALELA B;RODAS_PNEUS;6,0;204,78
PC003104;RADIADOR COMPLETO REFORCADO ORIGINAL;ARREFECIMENTO;2,0;350,37
PC003105;FILTRO DE OLEO CAMBIO PESADO ORIGINAL;FILTROS;73,0;62,68
PC003106;ESPELHO RETROVISOR REFORCADO PARALELA A;CARROCERIA;1,0;798,09
PC003107;RODA DE ACO ARO 22 STD REMANUFATURADO;RODAS_PNEUS;6,0;821,57
PC003108;VIDRO LATERAL  REMANUFATURADO;CARROCERIA;3,0;344,81
PC003109;MANGOTE PNEUMATICO  PARALELA B;ARTICULACAO_5RODA;49,0;1092,18
PC003110;PARA-BRISA  PARALELA B;CARROCERIA;11,0;911,9
PC003111;AMORTECEDOR DIANTEIRO STD REMANUFATURADO;SUSPENSAO;30,0;808,07
PC003112;FILTRO DE COMBUSTIVEL STD PARALELA A;FILTROS;31,0;44,44
PC003113;FILTRO DE AR MOTOR LEVE PARALELA A;FILTROS;3,0;40,63
PC003114;VALVULA TERMOSTATICA STD ORIGINAL;ARREFECIMENTO;5,0;542,89
PC003115;CAMARA DE AR PESADO PARALELA A;RODAS_PNEUS;35,0;292,03
PC003116;FEIXE DE MOLA LEVE ORIGINAL;SUSPENSAO;33,0;423,12
PC003117;CORREIA DENTADA  REMANUFATURADO;MOTOR;344,0;6092,31
PC003118;ROLAMENTO DE RODA  ORIGINAL;RODAS_PNEUS;57,0;592,05
