Produto;Data;Quantidade;Valor Total;Categoria
Xerox 1932;11/06/2009;14;481,4;Office Supplies
Fellowes Staxonsteel® Drawer Files;11/06/2009;42;8127,32;Office Supplies
Microsoft Natural Keyboard Elite;11/06/2009;14;569,21;Technology
5180;11/06/2009;26;1495,18;Technology
Accessory41;11/06/2009;29;909,72;Technology
Newell 310;11/06/2009;47;85,87;Office Supplies
Recycled Interoffice Envelopes with Re-Use-A-Seal® Closure, 10 x 13;12/06/2009;22;383,33;Office Supplies
Hon iLevel Computer Training Table;12/06/2009;47;1146,99;Furniture
Xerox 213;12/06/2009;3;34,23;Office Supplies
G.E. Longer-Life Indoor Recessed Floodlight Bulbs;12/06/2009;50;345,58;Furniture
O'Sullivan Elevations Bookcase, Cherry Finish;12/06/2009;36;4581,41;Furniture
Eldon Imàge® Series Desk Accessories, Clear;12/06/2009;16;79,98;Furniture
Canon PC940 Copier;12/06/2009;12;5177,4;Technology
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets;12/06/2009;25;2612,89;Furniture
Xerox 1906;12/06/2009;28;967,27;Office Supplies
Bionaire Personal Warm Mist Humidifier/Vaporizer;12/06/2009;38;1756,27;Office Supplies
Xerox 194;12/06/2009;28;1676,48;Office Supplies
Logitech Internet Navigator Keyboard;13/06/2009;29;877,97;Technology
Accessory4;13/06/2009;16;1239,63;Technology
Kensington 7 Outlet MasterPiece Power Center;13/06/2009;9;1608,87;Office Supplies
Advantus Rolling Storage Box;13/06/2009;33;551,67;Office Supplies
Economy Binders;13/06/2009;11;37,64;Office Supplies
Avery Hi-Liter® Smear-Safe Highlighters;14/06/2009;11;65,7;Office Supplies
Electrix Halogen Magnifier Lamp;14/06/2009;21;4201,08;Furniture
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base;14/06/2009;41;8958,46;Furniture
GBC ProClick 150 Presentation Binding System;14/06/2009;24;7046,61;Office Supplies
Avery Hanging File Binders;15/06/2009;14;78,44;Office Supplies
Xerox 1905;15/06/2009;50;329,91;Office Supplies
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat;15/06/2009;15;5028,31;Furniture
Belkin MediaBoard 104- Keyboard;15/06/2009;41;1085,61;Technology
Hon Metal Bookcases, Putty;15/06/2009;10;784,08;Furniture
Storex DuraTech Recycled Plastic Frosted Binders;15/06/2009;35;157,99;Office Supplies
Newell 338;15/06/2009;48;141,59;Office Supplies
Keytronic Designer 104- Key Black Keyboard;16/06/2009;16;706,53;Technology
Eldon® Expressions Wood Desk Accessories, Oak;17/06/2009;25;184,86;Furniture
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";17/06/2009;42;2149,37;Furniture
Belkin 6 Outlet Metallic Surge Strip;17/06/2009;37;394,62;Office Supplies
Decoflex Hanging Personal Folder File, Blue;17/06/2009;33;528,5;Office Supplies
Fellowes Basic 104-Key Keyboard, Platinum;17/06/2009;33;750,66;Technology
File Shuttle II and Handi-File, Black;17/06/2009;16;535,54;Office Supplies
Xerox 1993;17/06/2009;23;155,52;Office Supplies
Logitech Internet Navigator Keyboard;17/06/2009;8;254,32;Technology
Xerox 193;17/06/2009;44;267,85;Office Supplies
Staples Plastic Wall Frames;17/06/2009;11;96,68;Furniture
ACCOHIDE® Binder by Acco;17/06/2009;25;113,75;Office Supplies
Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry;17/06/2009;42;464,64;Furniture
Harmony HEPA Quiet Air Purifiers;17/06/2009;26;342,4;Office Supplies
O'Sullivan Elevations Bookcase, Cherry Finish;17/06/2009;24;3081,95;Furniture
Adesso Programmable 142-Key Keyboard;18/06/2009;31;4483,92;Technology
Staples Battery-Operated Desktop Pencil Sharpener;18/06/2009;11;110,79;Office Supplies
Holmes Odor Grabber;19/06/2009;3;46,46;Office Supplies
Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs;19/06/2009;36;10122,72;Furniture
Fluorescent Highlighters by Dixon;19/06/2009;30;115,81;Office Supplies
Xerox 1922;19/06/2009;39;203,6;Office Supplies
Fellowes Twister Kit, Gray/Clear, 3/pkg;20/06/2009;40;323,63;Office Supplies
Xerox 1894;20/06/2009;39;238,49;Office Supplies
Avery 481;20/06/2009;38;117,84;Office Supplies
Newell 318;20/06/2009;47;121,2;Office Supplies
"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""";20/06/2009;42;433,68;Office Supplies
"Executive Impressions 13"" Chairman Wall Clock";21/06/2009;1;34,11;Furniture
Epson C82 Color Inkjet Printer;21/06/2009;24;2920,83;Technology
Xerox 1993;21/06/2009;42;262,3;Office Supplies
Avery 492;21/06/2009;24;67,35;Office Supplies
Bretford CR4500 Series Slim Rectangular Table;21/06/2009;4;1472,31;Furniture
Global Ergonomic Managers Chair;22/06/2009;7;1211,98;Furniture
V 3600 Series;22/06/2009;31;1637,46;Technology
Avery Durable Binders;22/06/2009;11;30,61;Office Supplies
Ampad #10 Peel & Seel® Holiday Envelopes;22/06/2009;18;92,4;Office Supplies
Ibico Hi-Tech Manual Binding System;22/06/2009;50;15383,7;Office Supplies
Belkin 105-Key Black Keyboard;22/06/2009;43;815,89;Technology
Iris Project Case;22/06/2009;11;96,01;Office Supplies
StarTAC ST7762;22/06/2009;23;2433,55;Technology
Newell 333;23/06/2009;30;79,14;Office Supplies
Hayes Optima 56K V.90 Internal Voice Modem;23/06/2009;8;2155,84;Technology
Xerox 23;23/06/2009;26;175,27;Office Supplies
Newell 337;23/06/2009;10;36,91;Office Supplies
T193;23/06/2009;21;1130,81;Technology
O'Sullivan Living Dimensions 3-Shelf Bookcases;23/06/2009;23;4514,86;Furniture
Westinghouse Clip-On Gooseneck Lamps;24/06/2009;42;375,76;Furniture
StarTAC 7760;24/06/2009;49;2693,51;Technology
Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry;24/06/2009;16;178,4;Furniture
Prang Drawing Pencil Set;24/06/2009;40;115,01;Office Supplies
Staples Battery-Operated Desktop Pencil Sharpener;24/06/2009;39;392,81;Office Supplies
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes";24/06/2009;37;347,84;Office Supplies
Accessory37;24/06/2009;17;283,65;Technology
Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum;25/06/2009;1;159,51;Furniture
2160i;25/06/2009;30;5015,05;Technology
KI Conference Tables;25/06/2009;17;1032,07;Furniture
Kensington 7 Outlet MasterPiece Power Center;25/06/2009;40;7381,19;Office Supplies
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting;25/06/2009;27;2780,88;Furniture
GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb;26/06/2009;10;155,45;Office Supplies
Bush Westfield Collection Bookcases, Fully Assembled;28/06/2009;46;4601,02;Furniture
Xerox 196;28/06/2009;15;89,89;Office Supplies
Bionaire 99.97% HEPA Air Cleaner;28/06/2009;39;739,28;Office Supplies
Avery Poly Binder Pockets;28/06/2009;46;160,27;Office Supplies
Westinghouse Clip-On Gooseneck Lamps;29/06/2009;34;285,06;Furniture
Xerox 214;29/06/2009;43;260,59;Office Supplies
Accessory9;29/06/2009;24;711,88;Technology
Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);29/06/2009;14;95,89;Office Supplies
Barrel Sharpener;29/06/2009;23;80,38;Office Supplies
Keytronic 105-Key Spanish Keyboard;29/06/2009;22;1651,09;Technology
Filing/Storage Totes and Swivel Casters;30/06/2009;18;174,62;Office Supplies
*Staples* vLetter Openers, 2/Pack;30/06/2009;16;55,44;Office Supplies
"Howard Miller 16"" Diameter Gallery Wall Clock";30/06/2009;14;890,9;Furniture
Avery 494;30/06/2009;44;115,24;Office Supplies
Staples Vinyl Coated Paper Clips, 800/Box;30/06/2009;21;179,98;Office Supplies
SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black;30/06/2009;28;9601,94;Furniture
X-Rack File for Hanging Folders;30/06/2009;29;324,75;Office Supplies
80 Minute Slim Jewel Case CD-R , 10/Pack - Staples;30/06/2009;42;344,57;Technology
Logitech Internet Navigator Keyboard;30/06/2009;44;1431,0;Technology
Canon S750 Color Inkjet Printer;01/07/2009;35;4233,15;Technology
Bretford CR4500 Series Slim Rectangular Table;01/07/2009;6;2170,61;Furniture
Binding Machine Supplies;01/07/2009;8;253,26;Office Supplies
*Staples* Highlighting Markers;01/07/2009;27;123,46;Office Supplies
Canon PC940 Copier;01/07/2009;40;17279,62;Technology
Newell 312;01/07/2009;20;120,3;Office Supplies
Lexmark 4227 Plus Dot Matrix Printer;01/07/2009;3;6041,01;Technology
Xerox 1897;01/07/2009;9;52,59;Office Supplies
Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus;01/07/2009;42;1967,83;Technology
Bevis Round Conference Table Top, X-Base;01/07/2009;45;6865,07;Furniture
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box";02/07/2009;45;4629,67;Furniture
Maxell Pro 80 Minute CD-R, 10/Pack;02/07/2009;9;157,42;Technology
Novimex Fabric Task Chair;02/07/2009;10;601,57;Furniture
Xerox 1952;02/07/2009;29;147,02;Office Supplies
Binder Posts;02/07/2009;50;281,39;Office Supplies
Bush Westfield Collection Bookcases, Fully Assembled;02/07/2009;24;2453,3;Furniture
Fellowes Super Stor/Drawer® Files;02/07/2009;9;1455,04;Office Supplies
Epson LQ-570e Dot Matrix Printer;02/07/2009;49;12593,91;Technology
Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection;02/07/2009;20;1205,73;Office Supplies
Peel-Off® China Markers;03/07/2009;38;373,07;Office Supplies
Riverleaf Stik-Withit® Designer Note Cubes®;03/07/2009;44;444,52;Office Supplies
Binder Clips by OIC;03/07/2009;19;28,34;Office Supplies
Bevis Round Conference Table Top & Single Column Base;03/07/2009;5;708,87;Furniture
Round Specialty Laser Printer Labels;03/07/2009;26;299,07;Office Supplies
8890;03/07/2009;34;3419,15;Technology
Xerox 227;03/07/2009;7;55,81;Office Supplies
Bush Mission Pointe Library;03/07/2009;8;1209,37;Furniture
Hoover WindTunnel Plus Canister Vacuum;04/07/2009;23;8413,23;Office Supplies
Xerox 1908;04/07/2009;14;748,84;Office Supplies
Fellowes Super Stor/Drawer® Files;04/07/2009;9;1497,93;Office Supplies
Okidata ML320 Series Turbo Dot Matrix Printers;04/07/2009;5;2017,5;Technology
Hon 5100 Series Wood Tables;04/07/2009;14;3857,56;Furniture
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets;04/07/2009;39;3908,65;Furniture
GBC Standard Therm-A-Bind Covers;04/07/2009;39;916,05;Office Supplies
Economy Rollaway Files;04/07/2009;37;6176,29;Office Supplies
Eldon Spacemaker® Box, Quick-Snap Lid, Clear;04/07/2009;30;105,45;Office Supplies
Recycled Interoffice Envelopes with String and Button Closure, 10 x 13;04/07/2009;21;514,53;Office Supplies
Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units;05/07/2009;26;7007,19;Office Supplies
Carina Double Wide Media Storage Towers in Natural & Black;05/07/2009;28;2232,15;Office Supplies
Avery 514;05/07/2009;26;75,6;Office Supplies
GBC Instant Index System for Binding Systems;05/07/2009;8;79,42;Office Supplies
Belkin F9M820V08 8 Outlet Surge;06/07/2009;40;1861,36;Office Supplies
Riverleaf Stik-Withit® Designer Note Cubes®;06/07/2009;6;63,61;Office Supplies
Fellowes Basic 104-Key Keyboard, Platinum;06/07/2009;22;446,46;Technology
Xerox 1986;06/07/2009;23;167,66;Office Supplies
Holmes HEPA Air Purifier;06/07/2009;42;937,62;Office Supplies
Avery 520;06/07/2009;11;33,02;Office Supplies
CF 688;06/07/2009;41;5636,31;Technology
252;06/07/2009;9;519,95;Technology
Tenex File Box, Personal Filing Tote with Lid, Black;06/07/2009;3;63,84;Office Supplies
"Wilson Jones Hanging View Binder, White, 1""";06/07/2009;46;331,83;Office Supplies
Self-Adhesive Ring Binder Labels;06/07/2009;12;47,79;Office Supplies
Wilson Jones DublLock® D-Ring Binders;06/07/2009;4;31,01;Office Supplies
Ibico Recycled Linen-Style Covers;06/07/2009;31;1252,89;Office Supplies
DAX Natural Wood-Tone Poster Frame;06/07/2009;20;525,78;Furniture
"Wilson Jones Hanging View Binder, White, 1""";07/07/2009;25;192,18;Office Supplies
5125;07/07/2009;29;5159,37;Technology
Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table;07/07/2009;37;2756,17;Furniture
File Shuttle II and Handi-File, Black;07/07/2009;20;668,8;Office Supplies
O'Sullivan Cherrywood Estates Traditional Barrister Bookcase;07/07/2009;8;1187,01;Furniture
Master Caster Door Stop, Brown;07/07/2009;12;65,89;Furniture
Coloredge Poster Frame;07/07/2009;47;691,52;Furniture
SANFORD Liquid Accent Tank-Style Highlighters;07/07/2009;13;42,27;Office Supplies
Fellowes Black Plastic Comb Bindings;08/07/2009;23;139,45;Office Supplies
GBC DocuBind 300 Electric Binding Machine;09/07/2009;31;16949,44;Office Supplies
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue";09/07/2009;5;24,09;Office Supplies
EcoTones® Memo Sheets;09/07/2009;41;173,27;Office Supplies
VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine;09/07/2009;45;6944,09;Technology
Boston School Pro Electric Pencil Sharpener, 1670;09/07/2009;16;519,65;Office Supplies
4009® Highlighters by Sanford;09/07/2009;38;156,2;Office Supplies
Staples Brown Kraft Recycled Clasp Envelopes;09/07/2009;1;11,16;Office Supplies
Newell 318;10/07/2009;32;89,89;Office Supplies
Canon PC1080F Personal Copier;10/07/2009;38;21956,03;Technology
Coloredge Poster Frame;11/07/2009;16;230,74;Furniture
Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS;12/07/2009;1;31,96;Technology
3M Polarizing Task Lamp with Clamp Arm, Light Gray;12/07/2009;41;5583,27;Furniture
6120;12/07/2009;31;1624,6;Technology
Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;12/07/2009;28;7157,16;Furniture
Sanford Liquid Accent Highlighters;12/07/2009;5;33,41;Office Supplies
Tennsco Commercial Shelving;12/07/2009;4;112,18;Office Supplies
Eldon Expressions Mahogany Wood Desk Collection;12/07/2009;43;265,38;Furniture
6185;12/07/2009;33;5638,8;Technology
Avery 51;12/07/2009;34;203,49;Office Supplies
TDK 4.7GB DVD-R;12/07/2009;35;381,36;Technology
Lexmark Z55se Color Inkjet Printer;12/07/2009;5;477,76;Technology
Hoover Portapower Portable Vacuum;13/07/2009;45;237,28;Office Supplies
Hoover Portapower Portable Vacuum;13/07/2009;13;105,94;Office Supplies
i1000plus;13/07/2009;47;4815,86;Technology
Bell Sonecor JB700 Caller ID;13/07/2009;34;223,5;Technology
Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book;14/07/2009;30;189,04;Office Supplies
Economy Rollaway Files;14/07/2009;23;3553,62;Office Supplies
Boston 16801 Nautilus Battery Pencil Sharpener;14/07/2009;47;945,86;Office Supplies
Chromcraft Rectangular Conference Tables;14/07/2009;12;2340,5;Furniture
Newell 346;15/07/2009;24;66,12;Office Supplies
Accessory20;15/07/2009;3;221,47;Technology
Newell 312;15/07/2009;8;46,97;Office Supplies
Canon imageCLASS 2200 Advanced Copier;15/07/2009;1;3672,89;Technology
"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue";15/07/2009;40;196,5;Office Supplies
Memorex 4.7GB DVD+R, 3/Pack;15/07/2009;49;772,42;Technology
Memorex 4.7GB DVD+RW, 3/Pack;16/07/2009;22;604,38;Technology
"Acme® 8"" Straight Scissors";16/07/2009;45;592,73;Office Supplies
Xerox 1906;16/07/2009;22;755,6;Office Supplies
GBC Standard Therm-A-Bind Covers;16/07/2009;27;636,7;Office Supplies
"Tensor ""Hersey Kiss"" Styled Floor Lamp";16/07/2009;18;243,51;Furniture
MicroTAC 650;16/07/2009;45;2404,6;Technology
"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box";16/07/2009;37;288,55;Technology
Holmes 99% HEPA Air Purifier;16/07/2009;47;1020,61;Office Supplies
Regeneration Desk Collection;17/07/2009;50;86,7;Furniture
Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle;17/07/2009;9;1059,3;Technology
Hewlett-Packard 2600DN Business Color Inkjet Printer;17/07/2009;42;4993,42;Technology
Memorex 4.7GB DVD+RW, 3/Pack;17/07/2009;43;1114,42;Technology
Avery 508;17/07/2009;21;98,77;Office Supplies
Staples® General Use 3-Ring Binders;17/07/2009;42;82,03;Office Supplies
Staples Standard Envelopes;17/07/2009;32;177,52;Office Supplies
Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White;17/07/2009;47;1505,57;Office Supplies
Xerox 1978;17/07/2009;50;290,91;Office Supplies
Super Bands, 12/Pack;17/07/2009;31;60,64;Office Supplies
Advantus Rolling Storage Box;20/07/2009;16;278,92;Office Supplies
StarTAC 3000;20/07/2009;26;2546,52;Technology
"Wilson Jones Hanging View Binder, White, 1""";20/07/2009;30;221,05;Office Supplies
Xerox 21;20/07/2009;34;226,83;Office Supplies
GBC Standard Plastic Binding Systems' Combs;20/07/2009;21;133,15;Office Supplies
Avery 481;20/07/2009;45;136,71;Office Supplies
Lexmark 4227 Plus Dot Matrix Printer;20/07/2009;1;1893,93;Technology
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind;20/07/2009;6;7767,02;Office Supplies
Avery Premier Heavy-Duty Binder with Round Locking Rings;21/07/2009;8;121,74;Office Supplies
Tenex File Box, Personal Filing Tote with Lid, Black;21/07/2009;23;384,21;Office Supplies
TimeportP7382;21/07/2009;20;3361,76;Technology
Fellowes 17-key keypad for PS/2 interface;21/07/2009;40;1184,03;Technology
Memorex 80 Minute CD-R Spindle, 100/Pack;21/07/2009;33;1422,31;Technology
Logitech Cordless Elite Duo;21/07/2009;12;1244,72;Technology
Super Decoflex Portable Personal File;21/07/2009;25;358,78;Office Supplies
Ibico EPK-21 Electric Binding System;21/07/2009;1;1786,04;Office Supplies
3285;21/07/2009;4;700,37;Technology
"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack";21/07/2009;31;524,19;Technology
Xerox 1982;21/07/2009;24;520,68;Office Supplies
Large Capacity Hanging Post Binders;21/07/2009;50;1262,72;Office Supplies
8890;22/07/2009;38;4008,73;Technology
Avery Binder Labels;22/07/2009;32;136,2;Office Supplies
Staples 6 Outlet Surge;22/07/2009;44;505,01;Office Supplies
Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11;22/07/2009;41;286,75;Office Supplies
Surelock Post Binders;22/07/2009;9;252,79;Office Supplies
Eureka The Boss® Cordless Rechargeable Stick Vac;24/07/2009;1;68,45;Office Supplies
Eureka Hand Vacuum, Bagless;24/07/2009;20;939,39;Office Supplies
Recycled Premium Regency Composition Covers;24/07/2009;14;215,31;Office Supplies
636;24/07/2009;31;3077,73;Technology
Tennsco Regal Shelving Units;24/07/2009;33;3644,24;Office Supplies
Staples® General Use 3-Ring Binders;24/07/2009;43;84,61;Office Supplies
T60;24/07/2009;8;599,21;Technology
Belkin 6 Outlet Metallic Surge Strip;25/07/2009;9;101,47;Office Supplies
Staples Plastic Wall Frames;26/07/2009;50;387,03;Furniture
Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection;26/07/2009;10;1925,83;Office Supplies
Barrel Sharpener;26/07/2009;26;100,41;Office Supplies
Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book;26/07/2009;31;196,81;Office Supplies
Rogers® Profile Extra Capacity Storage Tub;26/07/2009;18;290,07;Office Supplies
2160i;26/07/2009;48;8101,99;Technology
Global High-Back Leather Tilter, Burgundy;26/07/2009;13;1619,51;Furniture
A1228;26/07/2009;8;1313,81;Technology
"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack";26/07/2009;14;142,81;Office Supplies
Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled;26/07/2009;32;3416,38;Furniture
Xerox 1897;26/07/2009;16;88,84;Office Supplies
Global Troy Executive Leather Low-Back Tilter;26/07/2009;40;21425,91;Furniture
Staples 6 Outlet Surge;27/07/2009;21;256,12;Office Supplies
Round Specialty Laser Printer Labels;27/07/2009;39;493,26;Office Supplies
Newell 343;27/07/2009;31;87,32;Office Supplies
LX 677;27/07/2009;24;2152,4;Technology
Avery 48;27/07/2009;39;223,34;Office Supplies
Eldon Regeneration Recycled Desk Accessories, Smoke;27/07/2009;15;30,68;Furniture
Array® Memo Cubes;27/07/2009;37;192,15;Office Supplies
Okidata Pacemark 4410N Wide Format Dot Matrix Printer;28/07/2009;4;13070,2;Technology
Global High-Back Leather Tilter, Burgundy;28/07/2009;46;5897,47;Furniture
Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection;28/07/2009;40;2550,12;Office Supplies
Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack;29/07/2009;35;175,08;Technology
Xerox 213;29/07/2009;34;225,98;Office Supplies
Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs;29/07/2009;19;5369,46;Furniture
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""";29/07/2009;25;185,64;Office Supplies
"Howard Miller 13"" Diameter Goldtone Round Wall Clock";30/07/2009;32;1381,88;Furniture
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""";30/07/2009;23;404,24;Office Supplies
White GlueTop Scratch Pads;30/07/2009;8;124,7;Office Supplies
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;30/07/2009;2;377,02;Furniture
Newell 323;30/07/2009;35;59,66;Office Supplies
Accessory23;30/07/2009;7;211,74;Technology
Hewlett-Packard Business Color Inkjet 3000 [N, DTN] Series Printers;31/07/2009;35;26095,13;Technology
SAFCO Folding Chair Trolley;31/07/2009;31;3945,95;Furniture
Xerox 217;31/07/2009;10;75,58;Office Supplies
Anderson Hickey Conga Table Tops & Accessories;31/07/2009;23;367,53;Furniture
Fiskars® Softgrip Scissors;31/07/2009;42;477,53;Office Supplies
Peel & Stick Add-On Corner Pockets;31/07/2009;8;21,93;Office Supplies
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms;31/07/2009;33;5394,4;Furniture
GBC Standard Therm-A-Bind Covers;31/07/2009;5;142,3;Office Supplies
Imation 5.2GB DVD-RAM;01/08/2009;50;3075,83;Technology
Bush Advantage Collection® Racetrack Conference Table;01/08/2009;26;10692,97;Furniture
C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;01/08/2009;30;192,41;Office Supplies
"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""";01/08/2009;50;527,6;Office Supplies
Avery 481;01/08/2009;24;73,37;Office Supplies
Hewlett-Packard Deskjet 6122 Color Inkjet Printer;02/08/2009;24;4865,72;Technology
Global Leather and Oak Executive Chair, Black;02/08/2009;1;368,66;Furniture
Avery Hi-Liter® Fluorescent Desk Style Markers;02/08/2009;27;87,33;Office Supplies
Maxell DVD-RAM Discs;02/08/2009;15;269,2;Technology
"Mead 1st Gear 2"" Zipper Binder, Asst. Colors";02/08/2009;42;577,42;Office Supplies
Avery 508;02/08/2009;20;95,08;Office Supplies
Eldon® 200 Class Desk Accessories;02/08/2009;31;196,74;Furniture
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms;03/08/2009;24;4547,26;Furniture
i2000;03/08/2009;24;2560,94;Technology
Ibico Presentation Index for Binding Systems;03/08/2009;6;27,89;Office Supplies
Security-Tint Envelopes;04/08/2009;44;357,48;Office Supplies
CF 688;04/08/2009;42;5678,55;Technology
Belkin 6 Outlet Metallic Surge Strip;04/08/2009;37;388,9;Office Supplies
SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;04/08/2009;16;189,04;Office Supplies
Logitech Cordless Navigator Duo;04/08/2009;34;2560,59;Technology
Acme Galleria® Hot Forged Steel Scissors with Colored Handles;04/08/2009;9;141,83;Office Supplies
Xerox 1978;04/08/2009;43;241,19;Office Supplies
Okidata Pacemark 4410N Wide Format Dot Matrix Printer;04/08/2009;1;3501,79;Technology
Xerox 1903;05/08/2009;32;196,84;Office Supplies
Staples Battery-Operated Desktop Pencil Sharpener;05/08/2009;42;447,36;Office Supplies
i2000;05/08/2009;40;4054,06;Technology
Newell 323;05/08/2009;49;82,61;Office Supplies
Space Solutions Commercial Steel Shelving;05/08/2009;8;555,2;Office Supplies
Talkabout T8367;05/08/2009;16;886,89;Technology
Bretford CR8500 Series Meeting Room Furniture;05/08/2009;44;17248,09;Furniture
Companion Letter/Legal File, Black;05/08/2009;26;1033,93;Office Supplies
Holmes Odor Grabber;05/08/2009;44;634,12;Office Supplies
Ampad #10 Peel & Seel® Holiday Envelopes;06/08/2009;30;139,59;Office Supplies
SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp;06/08/2009;46;1219,25;Technology
V70;06/08/2009;38;6427,26;Technology
Super Bands, 12/Pack;06/08/2009;26;47,91;Office Supplies
Kensington 6 Outlet Guardian Standard Surge Protector;06/08/2009;41;854,23;Office Supplies
"ACCOHIDE® 3-Ring Binder, Blue, 1""";06/08/2009;45;177,88;Office Supplies
Acme® Preferred Stainless Steel Scissors;06/08/2009;46;259,25;Office Supplies
Xerox 1995;06/08/2009;9;65,81;Office Supplies
5170;06/08/2009;48;2784,83;Technology
Riverleaf Stik-Withit® Designer Note Cubes®;06/08/2009;12;115,45;Office Supplies
"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack";06/08/2009;31;163,89;Technology
"Avery Trapezoid Extra Heavy Duty 4"" Binders";07/08/2009;13;515,23;Office Supplies
Turquoise Lead Holder with Pocket Clip;07/08/2009;26;172,01;Office Supplies
Holmes Replacement Filter for HEPA Air Cleaner, Large Room;07/08/2009;44;642,8;Office Supplies
i500plus;07/08/2009;48;2482,03;Technology
Brites Rubber Bands, 1 1/2 oz. Box;07/08/2009;22;41,65;Office Supplies
T60;08/08/2009;15;1187,15;Technology
Boston School Pro Electric Pencil Sharpener, 1670;09/08/2009;8;238,74;Office Supplies
Avery 491;09/08/2009;28;112,35;Office Supplies
Binder Posts;09/08/2009;3;21,64;Office Supplies
Fellowes Basic 104-Key Keyboard, Platinum;09/08/2009;42;865,21;Technology
Accessory20;10/08/2009;35;2506,27;Technology
Xerox 1894;10/08/2009;19;146,63;Office Supplies
"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack";10/08/2009;14;89,93;Technology
Avery Flip-Chart Easel Binder, Black;10/08/2009;16;376,65;Office Supplies
"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H";10/08/2009;6;40,06;Office Supplies
Hon 94000 Series Round Tables;10/08/2009;44;12689,87;Furniture
Accessory24;10/08/2009;35;1665,04;Technology
Xerox 1930;10/08/2009;32;210,94;Office Supplies
Xerox 1897;10/08/2009;23;121,73;Office Supplies
Tennsco Lockers, Gray;10/08/2009;7;192,02;Office Supplies
Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;11/08/2009;31;7477,78;Furniture
Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate;11/08/2009;3;119,9;Office Supplies
Lexmark Z54se Color Inkjet Printer;11/08/2009;31;2797,41;Technology
Ultra Door Pull Handle;11/08/2009;24;270,39;Furniture
Avery 491;11/08/2009;4;16,6;Office Supplies
Avery White Multi-Purpose Labels;11/08/2009;5;25,1;Office Supplies
Xerox 1920;11/08/2009;30;201,35;Office Supplies
