Produto;EstoqueAtual;CustoUnitario;Fornecedor
PC002304;1,0;398,05;Não informado
PC002305;19,0;425,68;Não informado
PC002306;120,0;1228,97;Não informado
PC002307;34,0;401,63;Não informado
PC002308;8,0;6370,49;Não informado
PC002309;60,0;2038,23;Não informado
PC002310;9,0;386,05;Não informado
PC002311;18,0;401,01;Não informado
PC002312;133,0;195,91;Não informado
PC002313;9,0;741,4;Não informado
PC002314;21,0;747,64;Não informado
PC002315;10,0;72,19;Não informado
PC002316;9,0;283,0;Não informado
PC002317;170,0;5479,57;Não informado
PC002318;96,0;233,16;Não informado
PC002319;41,0;899,73;Não informado
PC002320;7,0;452,64;Não informado
PC002321;6,0;4428,42;Não informado
PC002322;15,0;643,43;Não informado
PC002323;4,0;502,72;Não informado
PC002324;8,0;3522,34;Não informado
PC002325;2,0;487,39;Não informado
PC002327;1,0;2075,48;Não informado
PC002328;6,0;748,84;Não informado
PC002329;74,0;1386,08;Não informado
PC002330;203,0;1821,44;Não informado
PC002331;12,0;96,16;Não informado
PC002332;1,0;372,06;Não informado
PC002333;17,0;152,34;Não informado
PC002334;7,0;209,16;Não informado
PC002335;150,0;278,31;Não informado
PC002336;12,0;277,82;Não informado
PC002337;75,0;45,1;Não informado
PC002338;2,0;638,43;Não informado
PC002339;50,0;492,06;Não informado
PC002340;16,0;523,35;Não informado
PC002341;15,0;2067,36;Não informado
PC002342;24,0;407,69;Não informado
PC002343;66,0;494,25;Não informado
PC002344;6,0;75,52;Não informado
PC002345;15,0;49,61;Não informado
PC002346;1,0;244,78;Não informado
PC002347;15,0;365,8;Não informado
PC002349;113,0;3523,0;Não informado
PC002350;9,0;955,37;Não informado
PC002351;20,0;641,74;Não informado
PC002353;3,0;284,54;Não informado
PC002354;95,0;79,0;Não informado
PC002355;5,0;147,53;Não informado
PC002356;2,0;1037,58;Não informado
PC002357;2,0;992,95;Não informado
PC002358;18,0;284,94;Não informado
PC002359;2,0;501,91;Não informado
PC002360;68,0;606,38;Não informado
PC002361;6,0;929,13;Não informado
PC002362;13,0;54,07;Não informado
PC002363;4,0;723,32;Não informado
PC002364;83,0;5960,65;Não informado
PC002365;27,0;173,45;Não informado
PC002366;215,0;3917,85;Não informado
PC002367;0,0;569,15;Não informado
PC002368;3,0;791,95;Não informado
PC002369;18,0;3286,84;Não informado
PC002370;16,0;603,87;Não informado
PC002371;68,0;65,07;Não informado
PC002372;16,0;7234,7;Não informado
PC002373;113,0;407,15;Não informado
PC002374;70,0;261,18;Não informado
PC002375;18,0;4971,58;Não informado
PC002376;6,0;1119,46;Não informado
PC002377;6,0;960,57;Não informado
PC002378;4,0;725,37;Não informado
PC002379;1,0;434,38;Não informado
PC002380;17,0;305,43;Não informado
PC002381;100,0;8699,79;Não informado
PC002382;2,0;875,23;Não informado
PC002383;11,0;775,61;Não informado
PC002384;35,0;1045,06;Não informado
PC002385;38,0;1478,86;Não informado
PC002386;9,0;802,3;Não informado
PC002387;18,0;204,37;Não informado
PC002388;17,0;5294,83;Não informado
PC002389;30,0;819,52;Não informado
PC002390;14,0;1149,13;Não informado
PC002391;90,0;2342,29;Não informado
PC002392;24,0;7020,07;Não informado
PC002393;46,0;1976,16;Não informado
PC002394;0,0;669,21;Não informado
PC002395;6,0;967,23;Não informado
PC002396;1,0;296,65;Não informado
PC002397;4,0;127,99;Não informado
PC002398;23,0;1093,97;Não informado
PC002399;12,0;552,63;Não informado
PC002400;8,0;241,95;Não informado
PC002401;0,0;56,96;Não informado
PC002402;49,0;870,02;Não informado
PC002403;1,0;782,39;Não informado
PC002404;17,0;532,8;Não informado
PC002405;8,0;1319,38;Não informado
PC002406;15,0;534,57;Não informado
PC002407;71,0;996,7;Não informado
PC002408;177,0;65,05;Não informado
PC002409;128,0;60,86;Não informado
PC002410;125,0;161,93;Não informado
PC002411;199,0;310,48;Não informado
PC002412;42,0;495,57;Não informado
PC002413;5,0;5353,82;Não informado
PC002414;14,0;410,51;Não informado
PC002415;33,0;4404,87;Não informado
PC002416;247,0;1025,07;Não informado
PC002417;9,0;369,92;Não informado
PC002418;2,0;29,91;Não informado
PC002419;13,0;82,18;Não informado
PC002420;2,0;3033,26;Não informado
PC002421;49,0;76,95;Não informado
PC002422;123,0;133,75;Não informado
PC002423;243,0;595,6;Não informado
PC002424;10,0;925,74;Não informado
PC002425;24,0;864,85;Não informado
PC002426;1,0;37,64;Não informado
PC002427;5,0;1524,24;Não informado
PC002428;3,0;5420,37;Não informado
PC002429;1,0;322,87;Não informado
PC002430;0,0;986,31;Não informado
PC002431;11,0;449,7;Não informado
PC002432;22,0;549,89;Não informado
PC002433;2,0;458,35;Não informado
PC002434;13,0;3816,69;Não informado
PC002435;119,0;222,25;Não informado
PC002436;2,0;1021,64;Não informado
PC002437;13,0;2266,52;Não informado
PC002438;6,0;201,23;Não informado
PC002439;11,0;1788,21;Não informado
PC002440;23,0;1160,87;Não informado
PC002441;87,0;831,3;Não informado
PC002442;25,0;96,61;Não informado
PC002443;2,0;188,78;Não informado
PC002444;351,0;142,58;Não informado
PC002445;1,0;3163,19;Não informado
PC002446;119,0;1100,58;Não informado
PC002447;2,0;209,25;Não informado
PC002448;22,0;970,12;Não informado
PC002449;51,0;4799,26;Não informado
PC002450;1,0;691,81;Não informado
PC002451;17,0;198,87;Não informado
PC002452;52,0;4406,3;Não informado
PC002454;2,0;1033,87;Não informado
PC002455;4,0;1199,59;Não informado
PC002456;2,0;2308,16;Não informado
PC002457;22,0;2785,53;Não informado
PC002458;15,0;5655,52;Não informado
PC002459;10,0;316,83;Não informado
PC002460;23,0;324,57;Não informado
PC002461;57,0;211,14;Não informado
PC002462;23,0;768,28;Não informado
PC002463;49,0;1490,35;Não informado
PC002464;51,0;854,4;Não informado
PC002465;4,0;66,21;Não informado
PC002467;47,0;112,58;Não informado
PC002468;1,0;661,76;Não informado
PC002469;3,0;1367,06;Não informado
PC002470;36,0;530,95;Não informado
PC002471;6,0;1269,72;Não informado
PC002472;12,0;84,64;Não informado
PC002473;2,0;15,65;Não informado
PC002474;16,0;755,97;Não informado
PC002475;3,0;1207,64;Não informado
PC002476;61,0;741,09;Não informado
PC002477;2,0;2717,07;Não informado
PC002478;35,0;1035,68;Não informado
PC002480;2,0;664,48;Não informado
PC002481;1,0;267,36;Não informado
PC002482;3,0;93,37;Não informado
PC002483;17,0;236,54;Não informado
PC002484;80,0;1969,71;Não informado
PC002485;129,0;639,47;Não informado
PC002486;48,0;266,95;Não informado
PC002487;39,0;391,37;Não informado
PC002488;3,0;804,02;Não informado
PC002489;7,0;1003,7;Não informado
PC002490;1,0;74,42;Não informado
PC002491;19,0;884,22;Não informado
PC002492;4,0;4435,85;Não informado
PC002493;35,0;222,3;Não informado
PC002494;10,0;1105,14;Não informado
PC002495;6,0;606,88;Não informado
PC002496;18,0;815,59;Não informado
PC002497;3,0;2493,16;Não informado
PC002498;20,0;2543,27;Não informado
PC002499;6,0;320,31;Não informado
PC002500;2,0;7714,65;Não informado
PC002501;575,0;2432,07;Não informado
PC002502;1,0;688,9;Não informado
PC002503;171,0;1618,88;Não informado
PC002504;5,0;599,09;Não informado
PC002505;59,0;324,98;Não informado
PC002506;71,0;1061,65;Não informado
PC002507;93,0;445,9;Não informado
PC002508;68,0;270,9;Não informado
PC002509;1,0;4990,33;Não informado
PC002510;21,0;1311,27;Não informado
PC002511;16,0;742,93;Não informado
PC002512;0,0;95,29;Não informado
PC002513;3,0;2772,99;Não informado
PC002514;107,0;739,47;Não informado
PC002515;106,0;1025,27;Não informado
PC002516;3,0;1756,69;Não informado
PC002517;7,0;754,87;Não informado
PC002518;16,0;117,62;Não informado
PC002519;4,0;2154,93;Não informado
PC002520;50,0;4824,49;Não informado
PC002521;2,0;1380,99;Não informado
PC002522;178,0;2257,23;Não informado
PC002523;24,0;459,71;Não informado
PC002524;0,0;318,57;Não informado
PC002525;2,0;360,34;Não informado
PC002526;25,0;329,15;Não informado
PC002527;17,0;390,12;Não informado
PC002528;16,0;318,63;Não informado
PC002529;4,0;21,33;Não informado
PC002530;3,0;823,24;Não informado
PC002531;22,0;1046,13;Não informado
PC002532;121,0;485,15;Não informado
PC002533;8,0;2104,19;Não informado
PC002534;6,0;173,79;Não informado
PC002535;98,0;595,26;Não informado
PC002536;1,0;27,69;Não informado
PC002537;10,0;72,16;Não informado
PC002538;2,0;257,48;Não informado
PC002539;15,0;258,21;Não informado
PC002540;16,0;724,84;Não informado
PC002541;2,0;1179,88;Não informado
PC002542;36,0;1124,33;Não informado
PC002543;15,0;3357,21;Não informado
PC002544;26,0;1001,11;Não informado
PC002545;2,0;265,36;Não informado
PC002546;41,0;110,19;Não informado
PC002547;2,0;270,66;Não informado
PC002548;2,0;3834,26;Não informado
PC002549;8,0;268,89;Não informado
PC002550;12,0;57,74;Não informado
PC002551;2,0;1224,63;Não informado
PC002552;6,0;411,34;Não informado
PC002554;32,0;105,34;Não informado
PC002555;18,0;2097,48;Não informado
PC002556;22,0;4164,82;Não informado
PC002557;4,0;408,97;Não informado
PC002558;3,0;4672,51;Não informado
PC002559;1,0;336,54;Não informado
PC002561;11,0;794,87;Não informado
PC002562;3,0;2944,31;Não informado
PC002563;23,0;161,71;Não informado
PC002564;13,0;1636,28;Não informado
PC002565;33,0;1964,22;Não informado
PC002566;27,0;85,38;Não informado
PC002567;18,0;1900,26;Não informado
PC002568;38,0;234,0;Não informado
PC002569;81,0;327,55;Não informado
PC002570;30,0;1068,24;Não informado
PC002571;29,0;628,74;Não informado
PC002572;22,0;131,46;Não informado
PC002573;5,0;2242,27;Não informado
PC002574;56,0;366,12;Não informado
PC002575;3,0;1483,95;Não informado
PC002576;11,0;681,1;Não informado
PC002577;32,0;2878,4;Não informado
PC002578;64,0;805,96;Não informado
PC002579;3,0;959,56;Não informado
PC002580;49,0;2865,08;Não informado
PC002581;91,0;271,09;Não informado
PC002582;2,0;955,71;Não informado
PC002583;19,0;2075,8;Não informado
PC002584;2,0;5137,49;Não informado
PC002585;11,0;3782,18;Não informado
PC002586;21,0;1104,27;Não informado
PC002587;62,0;756,46;Não informado
PC002588;8,0;110,38;Não informado
PC002589;138,0;247,47;Não informado
PC002590;96,0;1237,91;Não informado
PC002591;164,0;1004,75;Não informado
PC002592;481,0;645,78;Não informado
PC002593;3,0;91,78;Não informado
PC002594;12,0;1054,21;Não informado
PC002595;19,0;1492,4;Não informado
PC002596;199,0;188,78;Não informado
PC002597;12,0;840,35;Não informado
PC002598;8,0;306,61;Não informado
PC002599;17,0;285,69;Não informado
PC002600;51,0;120,19;Não informado
PC002601;18,0;82,06;Não informado
PC002602;43,0;155,75;Não informado
PC002603;4,0;1522,72;Não informado
PC002604;27,0;886,54;Não informado
PC002605;0,0;3258,38;Não informado
PC002606;69,0;668,74;Não informado
PC002607;5,0;1228,84;Não informado
PC002608;6,0;1065,43;Não informado
PC002609;9,0;137,68;Não informado
PC002610;6,0;34,54;Não informado
PC002611;12,0;237,39;Não informado
PC002612;147,0;1465,38;Não informado
PC002613;24,0;565,35;Não informado
PC002614;1,0;141,49;Não informado
PC002615;46,0;288,11;Não informado
PC002616;12,0;879,07;Não informado
PC002617;21,0;503,58;Não informado
PC002618;16,0;46,64;Não informado
PC002619;1,0;1421,85;Não informado
PC002620;10,0;6784,06;Não informado
PC002622;2,0;2581,61;Não informado
PC002623;11,0;752,56;Não informado
PC002624;284,0;555,87;Não informado
PC002625;42,0;1502,56;Não informado
PC002626;37,0;3743,78;Não informado
PC002627;1,0;186,56;Não informado
PC002628;8,0;4560,16;Não informado
PC002629;20,0;611,92;Não informado
PC002630;8,0;87,34;Não informado
PC002631;2,0;4061,01;Não informado
PC002632;42,0;1024,66;Não informado
PC002633;5,0;913,41;Não informado
PC002634;24,0;1166,23;Não informado
PC002635;59,0;122,47;Não informado
PC002636;26,0;79,77;Não informado
PC002637;24,0;3588,08;Não informado
PC002638;4,0;1303,43;Não informado
PC002639;78,0;988,26;Não informado
PC002640;23,0;1477,85;Não informado
PC002641;2,0;2412,51;Não informado
PC002642;3,0;1008,52;Não informado
PC002643;10,0;546,03;Não informado
PC002644;84,0;308,93;Não informado
PC002645;1,0;429,59;Não informado
PC002646;6,0;116,1;Não informado
PC002647;49,0;814,22;Não informado
PC002648;5,0;7055,6;Não informado
PC002649;11,0;2243,57;Não informado
PC002650;19,0;3066,82;Não informado
PC002651;12,0;826,02;Não informado
PC002652;11,0;261,7;Não informado
PC002653;6,0;353,14;Não informado
PC002654;1,0;968,72;Não informado
PC002655;90,0;191,78;Não informado
PC002656;1,0;263,15;Não informado
PC002657;6,0;83,69;Não informado
PC002658;82,0;103,34;Não informado
PC002660;41,0;720,2;Não informado
PC002661;7,0;1595,59;Não informado
PC002662;17,0;949,12;Não informado
PC002663;42,0;155,0;Não informado
PC002664;12,0;35,05;Não informado
PC002665;20,0;50,91;Não informado
PC002666;36,0;952,56;Não informado
PC002667;17,0;1309,56;Não informado
PC002668;4,0;434,75;Não informado
PC002669;148,0;904,74;Não informado
PC002670;13,0;1438,89;Não informado
PC002671;3,0;751,0;Não informado
PC002672;9,0;232,47;Não informado
PC002673;9,0;189,43;Não informado
PC002674;20,0;54,5;Não informado
PC002675;4,0;364,11;Não informado
PC002676;2,0;504,91;Não informado
PC002677;21,0;786,43;Não informado
PC002678;47,0;87,77;Não informado
PC002679;2,0;634,53;Não informado
PC002680;59,0;967,85;Não informado
PC002681;1,0;339,77;Não informado
PC002682;259,0;110,67;Não informado
PC002683;10,0;1863,2;Não informado
PC002684;9,0;6397,95;Não informado
PC002685;74,0;71,57;Não informado
PC002686;28,0;4501,26;Não informado
PC002687;9,0;574,67;Não informado
PC002688;3,0;559,45;Não informado
PC002689;88,0;2188,03;Não informado
PC002690;2,0;1686,71;Não informado
PC002691;4,0;89,42;Não informado
PC002692;5,0;827,93;Não informado
PC002693;36,0;2107,73;Não informado
PC002695;42,0;4409,89;Não informado
PC002696;32,0;1746,31;Não informado
PC002697;11,0;288,02;Não informado
PC002698;8,0;531,0;Não informado
PC002699;43,0;753,98;Não informado
PC002700;6,0;117,44;Não informado
PC002701;8,0;393,45;Não informado
PC002702;6,0;1095,81;Não informado
PC002703;7,0;1156,47;Não informado
PC002704;36,0;1006,96;Não informado
PC002705;7,0;5653,7;Não informado
PC002706;47,0;326,04;Não informado
PC002707;5,0;803,26;Não informado
PC002709;256,0;888,13;Não informado
PC002710;5,0;957,86;Não informado
PC002711;8,0;2185,39;Não informado
PC002712;5,0;5188,37;Não informado
PC002713;3,0;6849,09;Não informado
PC002714;6,0;3657,05;Não informado
PC002715;2,0;308,95;Não informado
PC002716;20,0;163,85;Não informado
PC002717;43,0;94,61;Não informado
PC002718;15,0;189,95;Não informado
PC002719;92,0;914,33;Não informado
PC002720;23,0;343,87;Não informado
PC002721;29,0;62,91;Não informado
PC002722;77,0;847,22;Não informado
PC002723;2,0;1046,77;Não informado
PC002724;29,0;639,8;Não informado
PC002725;4,0;743,22;Não informado
PC002726;5,0;359,56;Não informado
PC002727;5,0;1167,25;Não informado
PC002728;30,0;25,63;Não informado
PC002729;2,0;46,35;Não informado
PC002730;37,0;366,17;Não informado
PC002731;11,0;86,82;Não informado
PC002732;129,0;742,1;Não informado
PC002733;13,0;5443,22;Não informado
PC002734;27,0;1748,54;Não informado
PC002735;145,0;927,23;Não informado
PC002736;143,0;579,86;Não informado
PC002737;3,0;262,25;Não informado
PC002738;21,0;78,02;Não informado
PC002739;33,0;174,0;Não informado
PC002740;47,0;7501,97;Não informado
PC002741;2,0;336,16;Não informado
PC002742;3,0;140,49;Não informado
PC002743;13,0;650,56;Não informado
PC002744;13,0;1044,77;Não informado
PC002745;35,0;471,79;Não informado
PC002746;11,0;68,6;Não informado
PC002747;2,0;1534,97;Não informado
PC002748;3,0;7097,17;Não informado
PC002749;21,0;273,61;Não informado
PC002750;57,0;4318,13;Não informado
PC002751;3,0;900,21;Não informado
PC002752;25,0;535,38;Não informado
PC002753;6,0;5097,87;Não informado
PC002754;21,0;2323,31;Não informado
PC002755;18,0;133,57;Não informado
PC002756;3,0;6908,62;Não informado
PC002757;35,0;1116,96;Não informado
PC002758;32,0;563,81;Não informado
PC002759;1,0;382,12;Não informado
PC002760;7,0;848,59;Não informado
PC002761;136,0;419,88;Não informado
PC002762;7,0;1339,96;Não informado
PC002763;10,0;886,9;Não informado
PC002764;11,0;108,31;Não informado
PC002765;1,0;4983,51;Não informado
PC002766;1,0;71,68;Não informado
PC002767;11,0;51,44;Não informado
PC002768;15,0;128,54;Não informado
PC002769;20,0;1247,13;Não informado
PC002771;12,0;784,8;Não informado
PC002772;108,0;493,29;Não informado
PC002773;53,0;463,28;Não informado
PC002774;40,0;941,31;Não informado
PC002775;3,0;1161,21;Não informado
PC002776;18,0;343,93;Não informado
PC002777;2,0;5758,51;Não informado
PC002778;52,0;1153,34;Não informado
PC002779;33,0;261,93;Não informado
PC002780;4,0;231,43;Não informado
PC002781;3,0;161,48;Não informado
PC002782;1,0;591,33;Não informado
PC002783;10,0;657,6;Não informado
PC002784;3,0;198,61;Não informado
PC002785;13,0;27,54;Não informado
PC002786;2,0;48,64;Não informado
PC002787;8,0;1557,51;Não informado
PC002788;185,0;89,8;Não informado
PC002789;4,0;1334,29;Não informado
PC002790;11,0;961,16;Não informado
PC002791;131,0;747,91;Não informado
PC002792;68,0;45,78;Não informado
PC002793;12,0;42,05;Não informado
PC002794;5,0;314,8;Não informado
PC002795;4,0;953,11;Não informado
PC002796;27,0;129,42;Não informado
PC002797;23,0;1676,01;Não informado
PC002798;18,0;909,63;Não informado
PC002799;23,0;3216,38;Não informado
PC002800;6,0;990,48;Não informado
PC002801;4,0;111,66;Não informado
PC002802;5,0;111,36;Não informado
PC002803;13,0;153,96;Não informado
PC002804;11,0;3174,22;Não informado
PC002805;30,0;793,48;Não informado
PC002806;1,0;235,41;Não informado
PC002807;9,0;261,24;Não informado
PC002808;21,0;566,25;Não informado
PC002809;15,0;143,84;Não informado
PC002810;20,0;58,49;Não informado
PC002811;26,0;1270,14;Não informado
PC002812;9,0;3470,94;Não informado
PC002814;1,0;5362,31;Não informado
PC002815;18,0;247,9;Não informado
PC002816;2,0;133,6;Não informado
PC002817;419,0;2994,94;Não informado
PC002818;93,0;2198,9;Não informado
PC002819;21,0;84,9;Não informado
PC002820;1,0;5332,41;Não informado
PC002821;42,0;2044,1;Não informado
PC002823;70,0;4197,79;Não informado
PC002824;38,0;1116,41;Não informado
PC002825;41,0;105,94;Não informado
PC002826;7,0;398,37;Não informado
PC002827;15,0;913,06;Não informado
PC002828;3,0;57,03;Não informado
PC002829;9,0;6241,94;Não informado
PC002830;208,0;471,36;Não informado
PC002831;129,0;1395,98;Não informado
PC002832;3,0;128,09;Não informado
PC002833;73,0;3216,33;Não informado
PC002834;16,0;494,82;Não informado
PC002835;115,0;609,96;Não informado
PC002836;154,0;4052,95;Não informado
PC002837;24,0;121,16;Não informado
PC002838;26,0;780,46;Não informado
PC002839;33,0;442,25;Não informado
PC002840;6,0;4372,2;Não informado
PC002842;45,0;4646,02;Não informado
PC002843;35,0;327,61;Não informado
PC002844;5,0;136,58;Não informado
PC002845;2,0;366,02;Não informado
PC002847;7,0;963,36;Não informado
PC002848;53,0;634,13;Não informado
PC002849;3,0;63,4;Não informado
PC002850;15,0;549,11;Não informado
PC002851;11,0;457,18;Não informado
PC002852;18,0;446,57;Não informado
PC002853;1,0;2623,01;Não informado
PC002854;1,0;627,61;Não informado
PC002855;42,0;372,67;Não informado
PC002856;8,0;44,84;Não informado
PC002857;1,0;86,5;Não informado
PC002858;19,0;369,17;Não informado
PC002859;108,0;639,78;Não informado
PC002861;17,0;812,47;Não informado
PC002862;41,0;105,09;Não informado
PC002863;3,0;2863,25;Não informado
PC002864;3,0;1213,49;Não informado
PC002865;9,0;129,38;Não informado
PC002866;2,0;117,87;Não informado
PC002868;18,0;7562,3;Não informado
PC002869;10,0;716,49;Não informado
PC002871;8,0;1019,55;Não informado
PC002872;9,0;756,03;Não informado
PC002873;6,0;306,28;Não informado
PC002875;64,0;2164,06;Não informado
PC002876;8,0;1250,86;Não informado
PC002877;3,0;107,91;Não informado
PC002878;15,0;2209,03;Não informado
PC002879;5,0;407,05;Não informado
PC002880;55,0;131,24;Não informado
PC002881;7,0;4669,23;Não informado
PC002882;1,0;1995,5;Não informado
PC002883;31,0;270,97;Não informado
PC002884;1,0;5429,74;Não informado
PC002885;15,0;1781,08;Não informado
PC002887;1,0;316,24;Não informado
PC002888;26,0;1796,91;Não informado
PC002889;23,0;273,64;Não informado
PC002890;46,0;1796,11;Não informado
PC002891;115,0;156,66;Não informado
PC002892;2,0;165,69;Não informado
PC002893;100,0;3365,64;Não informado
PC002894;7,0;103,62;Não informado
PC002895;3,0;597,69;Não informado
PC002896;94,0;1445,56;Não informado
PC002897;5,0;288,46;Não informado
PC002898;118,0;1118,69;Não informado
PC002899;23,0;495,46;Não informado
PC002900;14,0;5565,02;Não informado
PC002901;55,0;364,87;Não informado
PC002902;128,0;545,27;Não informado
PC002903;64,0;1034,2;Não informado
PC002904;27,0;4265,63;Não informado
PC002905;49,0;2581,4;Não informado
PC002906;67,0;4004,34;Não informado
PC002907;56,0;402,64;Não informado
PC002908;15,0;360,05;Não informado
PC002909;3,0;326,15;Não informado
PC002910;15,0;866,88;Não informado
PC002911;10,0;277,24;Não informado
PC002912;10,0;364,78;Não informado
PC002913;30,0;22,02;Não informado
PC002914;6,0;290,21;Não informado
PC002915;109,0;1913,63;Não informado
PC002916;71,0;409,03;Não informado
PC002917;13,0;1653,67;Não informado
PC002918;5,0;1021,83;Não informado
PC002919;37,0;1094,36;Não informado
PC002920;14,0;16,28;Não informado
PC002921;6,0;21,43;Não informado
PC002922;109,0;826,87;Não informado
PC002923;199,0;1234,53;Não informado
PC002924;71,0;669,46;Não informado
PC002925;6,0;3075,95;Não informado
PC002926;1,0;680,71;Não informado
PC002927;25,0;2271,28;Não informado
PC002928;0,0;1139,86;Não informado
PC002929;3,0;321,83;Não informado
PC002930;8,0;44,62;Não informado
PC002931;4,0;134,84;Não informado
PC002932;27,0;3747,97;Não informado
PC002933;28,0;241,77;Não informado
PC002934;55,0;292,36;Não informado
PC002935;20,0;1066,69;Não informado
PC002936;6,0;861,89;Não informado
PC002937;13,0;948,65;Não informado
PC002938;9,0;83,55;Não informado
PC002939;8,0;806,93;Não informado
PC002940;4,0;3418,86;Não informado
PC002941;10,0;271,62;Não informado
PC002942;3,0;4584,1;Não informado
PC002944;7,0;796,47;Não informado
PC002945;0,0;4154,69;Não informado
PC002946;3,0;1151,06;Não informado
PC002947;28,0;268,97;Não informado
PC002948;133,0;1800,9;Não informado
PC002949;2,0;2999,73;Não informado
PC002950;6,0;465,26;Não informado
PC002951;15,0;3928,08;Não informado
PC002952;6,0;686,8;Não informado
PC002953;62,0;419,54;Não informado
PC002954;11,0;1244,22;Não informado
PC002955;1,0;484,69;Não informado
PC002956;9,0;151,75;Não informado
PC002957;35,0;5486,52;Não informado
PC002958;117,0;54,01;Não informado
PC002959;0,0;1430,92;Não informado
PC002960;10,0;390,52;Não informado
PC002961;48,0;1270,52;Não informado
PC002962;7,0;852,48;Não informado
PC002963;32,0;533,01;Não informado
PC002964;20,0;4871,27;Não informado
PC002965;7,0;598,98;Não informado
PC002966;6,0;470,43;Não informado
PC002967;5,0;3193,79;Não informado
PC002968;5,0;6464,03;Não informado
PC002969;1,0;2833,79;Não informado
PC002970;16,0;912,07;Não informado
PC002971;9,0;991,68;Não informado
PC002972;117,0;325,68;Não informado
PC002973;13,0;291,33;Não informado
PC002974;27,0;80,34;Não informado
PC002975;61,0;1457,57;Não informado
PC002976;4,0;290,99;Não informado
PC002977;22,0;94,46;Não informado
PC002978;6,0;874,52;Não informado
PC002979;66,0;1406,28;Não informado
PC002980;32,0;247,57;Não informado
PC002981;96,0;1393,56;Não informado
PC002982;16,0;816,54;Não informado
PC002983;3,0;1069,47;Não informado
PC002984;25,0;26,09;Não informado
PC002985;1,0;79,8;Não informado
PC002986;47,0;496,35;Não informado
PC002987;1,0;431,45;Não informado
PC002988;10,0;176,11;Não informado
PC002989;26,0;2610,97;Não informado
PC002990;8,0;110,87;Não informado
PC002991;6,0;2062,7;Não informado
PC002992;5,0;349,6;Não informado
PC002994;1,0;36,26;Não informado
PC002995;45,0;418,58;Não informado
PC002996;140,0;1695,59;Não informado
PC002997;42,0;136,64;Não informado
PC002998;9,0;241,76;Não informado
PC002999;28,0;1255,93;Não informado
PC003000;334,0;1181,79;Não informado
PC003001;2,0;916,63;Não informado
PC003002;24,0;61,86;Não informado
PC003003;47,0;2379,26;Não informado
PC003004;145,0;5112,11;Não informado
PC003005;5,0;226,75;Não informado
PC003006;83,0;1434,95;Não informado
PC003007;47,0;551,61;Não informado
PC003008;5,0;365,87;Não informado
PC003009;4,0;464,07;Não informado
PC003011;58,0;322,87;Não informado
PC003012;16,0;8474,19;Não informado
PC003013;66,0;550,58;Não informado
PC003014;51,0;624,94;Não informado
PC003015;1,0;4583,55;Não informado
PC003016;93,0;382,9;Não informado
PC003017;1,0;602,89;Não informado
PC003018;12,0;78,28;Não informado
PC003019;240,0;540,14;Não informado
PC003020;15,0;86,75;Não informado
PC003021;7,0;1955,93;Não informado
PC003022;7,0;385,22;Não informado
PC003023;56,0;954,52;Não informado
PC003024;3,0;505,6;Não informado
PC003025;15,0;204,75;Não informado
PC003026;175,0;466,01;Não informado
PC003027;6,0;654,85;Não informado
PC003028;7,0;2387,5;Não informado
PC003029;13,0;183,0;Não informado
PC003030;42,0;533,09;Não informado
PC003031;10,0;578,28;Não informado
PC003032;43,0;4149,12;Não informado
PC003033;6,0;4706,3;Não informado
PC003034;31,0;3984,41;Não informado
PC003035;6,0;1067,1;Não informado
PC003036;154,0;280,42;Não informado
PC003037;24,0;378,17;Não informado
PC003038;27,0;455,74;Não informado
PC003039;63,0;1328,91;Não informado
PC003041;11,0;108,86;Não informado
PC003042;15,0;524,05;Não informado
PC003043;2,0;1248,76;Não informado
PC003044;77,0;221,85;Não informado
PC003045;34,0;729,02;Não informado
PC003046;3,0;123,37;Não informado
PC003047;37,0;416,03;Não informado
PC003048;91,0;43,91;Não informado
PC003049;23,0;36,45;Não informado
PC003050;10,0;741,34;Não informado
PC003051;10,0;138,33;Não informado
PC003052;26,0;445,75;Não informado
PC003053;26,0;3724,77;Não informado
PC003054;80,0;743,69;Não informado
PC003055;116,0;7204,26;Não informado
PC003056;0,0;184,29;Não informado
PC003057;26,0;105,23;Não informado
PC003058;10,0;69,34;Não informado
PC003059;68,0;391,7;Não informado
PC003060;19,0;421,71;Não informado
PC003061;12,0;305,37;Não informado
PC003062;1,0;329,31;Não informado
PC003063;187,0;1134,91;Não informado
PC003064;17,0;388,12;Não informado
PC003065;22,0;239,49;Não informado
PC003066;8,0;75,56;Não informado
PC003067;17,0;3093,14;Não informado
PC003068;72,0;3124,14;Não informado
PC003069;10,0;73,46;Não informado
PC003070;6,0;563,31;Não informado
PC003072;11,0;670,04;Não informado
PC003073;103,0;775,36;Não informado
PC003074;2,0;280,72;Não informado
PC003075;16,0;190,26;Não informado
PC003076;5,0;4504,54;Não informado
PC003077;7,0;1408,94;Não informado
PC003078;5,0;62,76;Não informado
PC003079;14,0;4786,08;Não informado
PC003080;21,0;1951,45;Não informado
PC003082;18,0;1404,63;Não informado
PC003083;334,0;833,6;Não informado
PC003084;1,0;182,14;Não informado
PC003085;5,0;1421,09;Não informado
PC003086;28,0;738,33;Não informado
PC003087;6,0;661,26;Não informado
PC003088;3,0;1402,69;Não informado
PC003089;17,0;4761,6;Não informado
PC003090;10,0;1078,9;Não informado
PC003091;204,0;370,12;Não informado
PC003092;8,0;2965,4;Não informado
