Produto;EstoqueAtual;CustoUnitario;Fornecedor;Filial
PC000490;25;206,32;Fornecedor Alfa;Loja Centro
PC000491;21;112,99;Fornecedor Gamma;Loja Centro
PC000492;35;172,98;Fornecedor Alfa;Loja Centro
PC000493;35;108,45;Fornecedor Alfa;Loja Centro
PC000494;36;40,35;Fornecedor Delta;Loja Centro
PC000495;17;274,72;Fornecedor Delta;Loja Centro
PC000496;22;303,35;Fornecedor Alfa;Loja Centro
PC000497;8;281,81;Fornecedor Gamma;Loja Centro
PC000498;26;212,86;Fornecedor Delta;Loja Centro
PC000499;34;175,87;Fornecedor Alfa;Loja Centro
PC000500;116;389,59;Fornecedor Alfa;Loja Centro
PC000501;102;237,43;Fornecedor Alfa;Loja Centro
PC000502;60;219,8;Fornecedor Alfa;Loja Centro
PC000503;58;19,33;Fornecedor Alfa;Loja Centro
PC000504;57;158,83;Fornecedor Alfa;Loja Centro
PC000505;25;176,05;Fornecedor Delta;Loja Centro
PC000506;13;184,28;Fornecedor Gamma;Loja Centro
PC000507;11;264,44;Fornecedor Alfa;Loja Centro
PC000508;25;243,85;Fornecedor Beta;Loja Centro
PC000509;38;276,69;Fornecedor Delta;Loja Centro
PC000510;5;346,08;Fornecedor Delta;Loja Centro
PC000511;23;367,34;Fornecedor Alfa;Loja Centro
PC000512;11;325,41;Fornecedor Delta;Loja Centro
PC000513;42;430,34;Fornecedor Alfa;Loja Centro
PC000514;21;16,06;Fornecedor Gamma;Loja Centro
PC000515;84;94,53;Fornecedor Gamma;Loja Centro
PC000516;19;11,34;Fornecedor Delta;Loja Centro
PC000517;111;294,18;Fornecedor Delta;Loja Centro
PC000518;13;404,93;Fornecedor Beta;Loja Centro
PC000519;22;115,62;Fornecedor Delta;Loja Centro
PC000520;128;417,75;Fornecedor Beta;Loja Centro
PC000521;11;34,64;Fornecedor Gamma;Loja Centro
PC000522;49;421,02;Fornecedor Gamma;Loja Centro
PC000523;4;163,42;Fornecedor Alfa;Loja Centro
PC000524;16;52,83;Fornecedor Gamma;Loja Centro
PC000525;20;222,76;Fornecedor Beta;Loja Centro
PC000526;26;121,5;Fornecedor Delta;Loja Centro
PC000527;11;133,91;Fornecedor Alfa;Loja Centro
PC000528;12;143,82;Fornecedor Beta;Loja Centro
PC000529;48;362,94;Fornecedor Delta;Loja Centro
PC000530;44;246,31;Fornecedor Alfa;Loja Centro
PC000531;47;145,6;Fornecedor Gamma;Loja Centro
PC000532;38;277,77;Fornecedor Beta;Loja Centro
PC000533;52;324,54;Fornecedor Delta;Loja Centro
PC000534;42;128,5;Fornecedor Alfa;Loja Centro
PC000535;10;190,79;Fornecedor Alfa;Loja Centro
PC000536;23;61,87;Fornecedor Gamma;Loja Centro
PC000537;9;88,07;Fornecedor Delta;Loja Centro
PC000538;24;309,05;Fornecedor Gamma;Loja Centro
PC000539;6;88,2;Fornecedor Gamma;Loja Centro
PC000540;15;240,12;Fornecedor Delta;Loja Centro
PC000541;76;321,4;Fornecedor Delta;Loja Centro
PC000542;59;55,24;Fornecedor Delta;Loja Centro
PC000543;53;258,75;Fornecedor Beta;Loja Centro
PC000544;28;121,4;Fornecedor Delta;Loja Centro
PC000545;13;433,61;Fornecedor Alfa;Loja Centro
PC000546;56;221,73;Fornecedor Gamma;Loja Centro
PC000547;64;364,25;Fornecedor Beta;Loja Centro
PC000548;20;251,2;Fornecedor Delta;Loja Centro
PC000549;33;27,19;Fornecedor Beta;Loja Centro
PC000550;25;287,85;Fornecedor Delta;Loja Centro
PC000551;17;428,52;Fornecedor Beta;Loja Centro
PC000552;14;273,91;Fornecedor Gamma;Loja Centro
PC000553;36;370,08;Fornecedor Gamma;Loja Centro
PC000554;19;398,82;Fornecedor Alfa;Loja Centro
PC000555;32;108,81;Fornecedor Alfa;Loja Centro
PC000556;19;101,72;Fornecedor Delta;Loja Centro
PC000557;10;278,05;Fornecedor Gamma;Loja Centro
PC000558;13;189,67;Fornecedor Beta;Loja Centro
PC000559;37;379,22;Fornecedor Beta;Loja Centro
PC000560;59;405,81;Fornecedor Beta;Loja Centro
PC000561;29;164,21;Fornecedor Alfa;Loja Centro
PC000562;51;112,7;Fornecedor Beta;Loja Centro
PC000563;46;352,99;Fornecedor Alfa;Loja Centro
PC000564;22;129,46;Fornecedor Alfa;Loja Centro
PC000565;47;371,6;Fornecedor Delta;Loja Centro
PC000566;88;195,29;Fornecedor Beta;Loja Centro
PC000567;16;303,06;Fornecedor Beta;Loja Centro
PC000568;32;50,23;Fornecedor Gamma;Loja Centro
PC000569;32;283,75;Fornecedor Delta;Loja Centro
PC000570;5;207,68;Fornecedor Gamma;Loja Centro
PC000571;46;267,28;Fornecedor Delta;Loja Centro
PC000572;76;82,26;Fornecedor Beta;Loja Centro
PC000573;14;333,7;Fornecedor Alfa;Loja Centro
PC000574;48;389,36;Fornecedor Alfa;Loja Centro
PC000575;69;103,8;Fornecedor Alfa;Loja Centro
PC000576;17;50,31;Fornecedor Alfa;Loja Centro
PC000577;55;18,45;Fornecedor Alfa;Loja Centro
PC000578;13;291,75;Fornecedor Gamma;Loja Centro
PC000579;32;276,34;Fornecedor Delta;Loja Centro
PC000580;78;249,64;Fornecedor Beta;Loja Centro
PC000581;21;110,52;Fornecedor Gamma;Loja Centro
PC000582;36;180,78;Fornecedor Delta;Loja Centro
PC000583;3;270,76;Fornecedor Alfa;Loja Centro
PC000584;13;227,57;Fornecedor Delta;Loja Centro
PC000585;5;444,6;Fornecedor Delta;Loja Centro
PC000586;46;68,31;Fornecedor Alfa;Loja Centro
PC000587;25;315,25;Fornecedor Alfa;Loja Centro
PC000588;35;186,71;Fornecedor Alfa;Loja Centro
PC000589;7;197,26;Fornecedor Beta;Loja Centro
PC000590;61;325,18;Fornecedor Alfa;Loja Centro
PC000591;34;314,06;Fornecedor Beta;Loja Centro
PC000592;29;446,14;Fornecedor Alfa;Loja Centro
PC000593;54;64,75;Fornecedor Beta;Loja Centro
PC000594;82;54,02;Fornecedor Delta;Loja Centro
PC000595;25;328,16;Fornecedor Gamma;Loja Centro
PC000596;21;263,65;Fornecedor Delta;Loja Centro
PC000597;66;129,18;Fornecedor Delta;Loja Centro
PC000598;107;43,1;Fornecedor Alfa;Loja Centro
PC000599;22;45,86;Fornecedor Beta;Loja Centro
PC000600;12;403,23;Fornecedor Gamma;Loja Centro
PC000601;47;92,81;Fornecedor Alfa;Loja Centro
PC000602;26;150,93;Fornecedor Alfa;Loja Centro
PC000603;82;108,18;Fornecedor Alfa;Loja Centro
PC000604;35;164,91;Fornecedor Delta;Loja Centro
PC000605;42;38,69;Fornecedor Beta;Loja Centro
PC000606;76;237,42;Fornecedor Beta;Loja Centro
PC000607;16;37,88;Fornecedor Gamma;Loja Centro
PC000608;31;361,76;Fornecedor Beta;Loja Centro
PC000609;44;111,3;Fornecedor Beta;Loja Centro
PC000610;16;246,69;Fornecedor Alfa;Loja Centro
PC000611;17;396,99;Fornecedor Alfa;Loja Centro
PC000612;64;295,69;Fornecedor Delta;Loja Centro
PC000613;70;243,57;Fornecedor Alfa;Loja Centro
PC000614;15;151,36;Fornecedor Alfa;Loja Centro
PC000615;46;155,19;Fornecedor Alfa;Loja Centro
PC000616;23;303,91;Fornecedor Alfa;Loja Centro
PC000617;32;447,41;Fornecedor Delta;Loja Centro
PC000618;29;300,53;Fornecedor Alfa;Loja Centro
PC000619;39;254,54;Fornecedor Gamma;Loja Centro
PC000620;81;330,95;Fornecedor Gamma;Loja Centro
PC000621;46;213,62;Fornecedor Gamma;Loja Centro
PC000622;49;34,58;Fornecedor Gamma;Loja Centro
PC000623;19;256,54;Fornecedor Alfa;Loja Centro
PC000624;143;431,27;Fornecedor Gamma;Loja Centro
PC000625;23;85,48;Fornecedor Alfa;Loja Centro
PC000626;40;312,98;Fornecedor Delta;Loja Centro
PC000627;25;96,81;Fornecedor Gamma;Loja Centro
PC000628;24;244,84;Fornecedor Beta;Loja Centro
PC000629;88;50,73;Fornecedor Gamma;Loja Centro
PC000630;63;207,06;Fornecedor Gamma;Loja Centro
PC000631;25;342,22;Fornecedor Alfa;Loja Centro
PC000632;62;161,63;Fornecedor Gamma;Loja Centro
PC000633;19;301,89;Fornecedor Beta;Loja Centro
PC000634;10;359,59;Fornecedor Alfa;Loja Centro
PC000635;26;417,81;Fornecedor Alfa;Loja Centro
PC000636;20;111,71;Fornecedor Delta;Loja Centro
PC000637;8;184,5;Fornecedor Delta;Loja Centro
PC000638;24;75,37;Fornecedor Gamma;Loja Centro
PC000639;15;446,68;Fornecedor Delta;Loja Centro
PC000640;54;417,73;Fornecedor Delta;Loja Centro
PC000641;71;246,66;Fornecedor Delta;Loja Centro
PC000642;22;380,18;Fornecedor Alfa;Loja Centro
PC000643;78;238,26;Fornecedor Alfa;Loja Centro
PC000644;36;283,62;Fornecedor Alfa;Loja Centro
PC000645;16;47,39;Fornecedor Delta;Loja Centro
PC000646;69;341,83;Fornecedor Alfa;Loja Centro
PC000647;24;64,45;Fornecedor Delta;Loja Centro
PC000648;18;373,12;Fornecedor Alfa;Loja Centro
PC000649;33;353,66;Fornecedor Alfa;Loja Centro
PC000650;52;321,27;Fornecedor Beta;Loja Centro
PC000651;36;23,98;Fornecedor Gamma;Loja Centro
PC000652;50;141,98;Fornecedor Delta;Loja Centro
PC000653;44;124,3;Fornecedor Beta;Loja Centro
PC000654;23;167,18;Fornecedor Alfa;Loja Centro
PC000655;32;46,74;Fornecedor Delta;Loja Centro
PC000656;8;422,14;Fornecedor Alfa;Loja Centro
PC000657;1;252,78;Fornecedor Gamma;Loja Centro
PC000658;65;143,04;Fornecedor Beta;Loja Centro
PC000659;12;183,47;Fornecedor Gamma;Loja Centro
PC000660;11;205,66;Fornecedor Beta;Loja Centro
PC000661;57;273,46;Fornecedor Alfa;Loja Centro
PC000662;18;235,93;Fornecedor Gamma;Loja Centro
PC000663;42;414,37;Fornecedor Gamma;Loja Centro
PC000664;2;227,66;Fornecedor Alfa;Loja Centro
PC000665;38;446,53;Fornecedor Gamma;Loja Centro
PC000666;63;384,33;Fornecedor Delta;Loja Centro
PC000667;11;100,16;Fornecedor Beta;Loja Centro
PC000668;58;419,32;Fornecedor Beta;Loja Centro
PC000669;28;59,43;Fornecedor Beta;Loja Centro
PC000670;6;369,31;Fornecedor Delta;Loja Centro
PC000671;24;176,24;Fornecedor Beta;Loja Centro
PC000672;23;396,06;Fornecedor Alfa;Loja Centro
PC000673;42;391,68;Fornecedor Gamma;Loja Centro
PC000674;4;364,22;Fornecedor Delta;Loja Centro
PC000675;14;357,19;Fornecedor Beta;Loja Centro
PC000676;37;142,67;Fornecedor Alfa;Loja Centro
PC000677;36;43,77;Fornecedor Gamma;Loja Centro
PC000678;10;186,12;Fornecedor Gamma;Loja Centro
PC000679;26;84,7;Fornecedor Delta;Loja Centro
PC000680;134;315,17;Fornecedor Delta;Loja Centro
PC000681;15;160,98;Fornecedor Delta;Loja Centro
PC000682;34;439,22;Fornecedor Alfa;Loja Centro
PC000683;64;291,31;Fornecedor Alfa;Loja Centro
PC000684;57;371,54;Fornecedor Delta;Loja Centro
PC000685;31;66,58;Fornecedor Beta;Loja Centro
PC000686;11;389,01;Fornecedor Gamma;Loja Centro
PC000687;63;415,86;Fornecedor Gamma;Loja Centro
PC000688;46;223,28;Fornecedor Alfa;Loja Centro
PC000689;2;275,96;Fornecedor Gamma;Loja Centro
PC000690;103;346,05;Fornecedor Beta;Loja Centro
PC000691;38;85,28;Fornecedor Gamma;Loja Centro
PC000692;68;230,13;Fornecedor Alfa;Loja Centro
PC000693;30;184,21;Fornecedor Alfa;Loja Centro
PC000694;69;72,7;Fornecedor Beta;Loja Centro
PC000695;59;170,45;Fornecedor Beta;Loja Centro
PC000696;14;38,13;Fornecedor Gamma;Loja Centro
PC000697;32;19,41;Fornecedor Gamma;Loja Centro
PC000698;32;67,74;Fornecedor Alfa;Loja Centro
PC000699;30;433,7;Fornecedor Beta;Loja Centro
PC000700;15;250,89;Fornecedor Beta;Loja Centro
PC000701;81;434,89;Fornecedor Beta;Loja Centro
PC000702;71;199,16;Fornecedor Gamma;Loja Centro
PC000703;16;145,82;Fornecedor Beta;Loja Centro
PC000704;11;231,71;Fornecedor Alfa;Loja Centro
PC000705;26;202,26;Fornecedor Alfa;Loja Centro
PC000706;77;54,7;Fornecedor Gamma;Loja Centro
PC000707;8;291,25;Fornecedor Delta;Loja Centro
PC000708;64;103,49;Fornecedor Gamma;Loja Centro
PC000709;34;281,86;Fornecedor Delta;Loja Centro
PC000710;19;295,39;Fornecedor Beta;Loja Centro
PC000711;108;75,19;Fornecedor Gamma;Loja Centro
PC000712;19;35,12;Fornecedor Alfa;Loja Centro
PC000713;20;353,1;Fornecedor Beta;Loja Centro
PC000714;9;211,23;Fornecedor Alfa;Loja Centro
PC000715;39;33,71;Fornecedor Beta;Loja Centro
PC000716;4;447,73;Fornecedor Gamma;Loja Centro
PC000717;50;33,54;Fornecedor Delta;Loja Centro
PC000718;52;315,21;Fornecedor Beta;Loja Centro
PC000719;42;442,79;Fornecedor Delta;Loja Centro
PC000720;9;113,72;Fornecedor Beta;Loja Centro
PC000721;67;70,87;Fornecedor Alfa;Loja Centro
PC000722;68;61,65;Fornecedor Alfa;Loja Centro
PC000723;27;142,05;Fornecedor Beta;Loja Centro
PC000724;45;52,66;Fornecedor Delta;Loja Centro
PC000725;16;313,94;Fornecedor Gamma;Loja Centro
PC000726;60;35,53;Fornecedor Gamma;Loja Centro
PC000727;25;233,16;Fornecedor Alfa;Loja Centro
PC000728;1;448,54;Fornecedor Gamma;Loja Centro
PC000729;40;367,77;Fornecedor Alfa;Loja Centro
PC000730;21;279,93;Fornecedor Gamma;Loja Centro
PC000731;20;143,36;Fornecedor Beta;Loja Centro
PC000732;60;283,76;Fornecedor Alfa;Loja Centro
PC000733;6;240,95;Fornecedor Alfa;Loja Centro
PC000734;107;196,33;Fornecedor Beta;Loja Centro
PC000735;50;65,77;Fornecedor Alfa;Loja Centro
PC000736;15;399,88;Fornecedor Gamma;Loja Centro
PC000737;87;206,8;Fornecedor Gamma;Loja Centro
PC000738;62;94,02;Fornecedor Alfa;Loja Centro
PC000739;14;170,55;Fornecedor Gamma;Loja Centro
PC000740;36;191,05;Fornecedor Delta;Loja Centro
PC000741;20;373,77;Fornecedor Alfa;Loja Centro
PC000742;79;332,26;Fornecedor Beta;Loja Centro
PC000743;19;348,03;Fornecedor Delta;Loja Centro
PC000744;33;12,88;Fornecedor Alfa;Loja Centro
PC000745;64;191,94;Fornecedor Beta;Loja Centro
PC000746;16;220,75;Fornecedor Gamma;Loja Centro
PC000747;50;16,48;Fornecedor Beta;Loja Centro
PC000748;27;122,84;Fornecedor Delta;Loja Centro
PC000749;48;344,05;Fornecedor Gamma;Loja Centro
PC000750;62;68,6;Fornecedor Alfa;Loja Centro
PC000751;23;244,61;Fornecedor Gamma;Loja Centro
PC000752;47;103,12;Fornecedor Alfa;Loja Centro
PC000753;11;13,36;Fornecedor Alfa;Loja Centro
PC000754;25;114,61;Fornecedor Beta;Loja Centro
PC000755;48;439,34;Fornecedor Beta;Loja Centro
PC000756;60;362,28;Fornecedor Beta;Loja Centro
PC000757;80;432,13;Fornecedor Delta;Loja Centro
PC000758;48;223,63;Fornecedor Delta;Loja Centro
PC000759;44;56,5;Fornecedor Beta;Loja Centro
PC000760;35;250,2;Fornecedor Delta;Loja Centro
PC000761;65;208,83;Fornecedor Gamma;Loja Centro
PC000762;21;381,21;Fornecedor Gamma;Loja Centro
PC000763;46;51,35;Fornecedor Delta;Loja Centro
PC000764;41;223,8;Fornecedor Delta;Loja Centro
PC000765;39;74,32;Fornecedor Gamma;Loja Centro
PC000766;16;151,51;Fornecedor Alfa;Loja Centro
PC000767;208;333,91;Fornecedor Gamma;Loja Centro
PC000768;63;218,4;Fornecedor Gamma;Loja Centro
PC000769;6;174,14;Fornecedor Delta;Loja Centro
PC000770;39;182,36;Fornecedor Gamma;Loja Centro
PC000771;35;211,08;Fornecedor Delta;Loja Centro
PC000772;40;354,98;Fornecedor Delta;Loja Centro
PC000773;138;402,3;Fornecedor Beta;Loja Centro
PC000774;42;430,26;Fornecedor Gamma;Loja Centro
PC000775;16;355,81;Fornecedor Alfa;Loja Centro
PC000776;17;147,41;Fornecedor Beta;Loja Centro
PC000777;34;312,16;Fornecedor Delta;Loja Centro
PC000778;56;201,42;Fornecedor Delta;Loja Centro
PC000779;84;120,56;Fornecedor Alfa;Loja Centro
PC000780;16;379,67;Fornecedor Delta;Loja Centro
PC000781;15;24,98;Fornecedor Gamma;Loja Centro
PC000782;14;406,58;Fornecedor Beta;Loja Centro
PC000783;20;211,97;Fornecedor Delta;Loja Centro
PC000784;52;289,64;Fornecedor Delta;Loja Centro
PC000785;35;299,43;Fornecedor Alfa;Loja Centro
PC000786;72;403,64;Fornecedor Gamma;Loja Centro
PC000787;84;289,41;Fornecedor Delta;Loja Centro
PC000788;56;279,36;Fornecedor Alfa;Loja Centro
PC000789;41;37,46;Fornecedor Delta;Loja Centro
PC000790;62;237,14;Fornecedor Alfa;Loja Centro
PC000791;66;74,37;Fornecedor Alfa;Loja Centro
PC000792;11;333,95;Fornecedor Gamma;Loja Centro
PC000793;69;234,4;Fornecedor Delta;Loja Centro
PC000794;44;308,66;Fornecedor Gamma;Loja Centro
PC000795;27;26,42;Fornecedor Alfa;Loja Centro
PC000796;92;45,48;Fornecedor Beta;Loja Centro
PC000797;50;324,61;Fornecedor Delta;Loja Centro
PC000798;55;39,86;Fornecedor Beta;Loja Centro
PC000799;37;39,5;Fornecedor Delta;Loja Centro
PC000800;22;13,35;Fornecedor Gamma;Loja Centro
PC000801;75;430,77;Fornecedor Gamma;Loja Centro
PC000802;38;333,98;Fornecedor Gamma;Loja Centro
PC000803;15;164,14;Fornecedor Gamma;Loja Centro
PC000804;32;139,07;Fornecedor Gamma;Loja Centro
PC000805;78;162,57;Fornecedor Beta;Loja Centro
PC000806;41;350,4;Fornecedor Gamma;Loja Centro
PC000807;5;300,33;Fornecedor Alfa;Loja Centro
PC000808;59;89,86;Fornecedor Alfa;Loja Centro
PC000809;41;84,96;Fornecedor Beta;Loja Centro
PC000810;53;51,49;Fornecedor Delta;Loja Centro
PC000811;15;299,85;Fornecedor Alfa;Loja Centro
PC000812;14;345,85;Fornecedor Delta;Loja Centro
PC000813;30;125,15;Fornecedor Beta;Loja Centro
PC000814;29;17,26;Fornecedor Delta;Loja Centro
PC000815;109;44,32;Fornecedor Delta;Loja Centro
PC000816;14;435,79;Fornecedor Delta;Loja Centro
PC000817;40;138,59;Fornecedor Delta;Loja Centro
PC000818;64;348,0;Fornecedor Beta;Loja Centro
PC000819;38;284,1;Fornecedor Alfa;Loja Centro
PC000820;31;176,82;Fornecedor Gamma;Loja Centro
PC000821;5;98,91;Fornecedor Delta;Loja Centro
PC000822;29;61,65;Fornecedor Alfa;Loja Centro
PC000823;118;279,84;Fornecedor Alfa;Loja Centro
PC000824;44;350,39;Fornecedor Beta;Loja Centro
PC000825;39;292,61;Fornecedor Alfa;Loja Centro
PC000826;30;242,39;Fornecedor Beta;Loja Centro
PC000827;18;26,54;Fornecedor Delta;Loja Centro
PC000828;22;436,07;Fornecedor Delta;Loja Centro
PC000829;73;361,03;Fornecedor Gamma;Loja Centro
PC000830;33;137,43;Fornecedor Gamma;Loja Centro
PC000831;31;441,15;Fornecedor Gamma;Loja Centro
PC000832;29;274,03;Fornecedor Alfa;Loja Centro
PC000833;23;265,43;Fornecedor Delta;Loja Centro
PC000834;53;338,65;Fornecedor Beta;Loja Centro
PC000835;1;366,8;Fornecedor Gamma;Loja Centro
PC000836;66;298,16;Fornecedor Beta;Loja Centro
PC000837;24;64,62;Fornecedor Beta;Loja Centro
PC000838;33;157,51;Fornecedor Gamma;Loja Centro
PC000839;32;418,21;Fornecedor Delta;Loja Centro
PC000840;8;107,28;Fornecedor Gamma;Loja Centro
PC000841;10;172,5;Fornecedor Beta;Loja Centro
PC000842;16;198,98;Fornecedor Gamma;Loja Centro
PC000843;29;202,22;Fornecedor Beta;Loja Centro
PC000844;27;278,92;Fornecedor Beta;Loja Centro
PC000845;66;424,84;Fornecedor Gamma;Loja Centro
PC000846;34;114,39;Fornecedor Alfa;Loja Centro
PC000847;10;61,7;Fornecedor Gamma;Loja Centro
PC000848;58;95,28;Fornecedor Alfa;Loja Centro
PC000849;14;400,02;Fornecedor Beta;Loja Centro
PC000850;25;293,45;Fornecedor Beta;Loja Centro
PC000851;30;134,37;Fornecedor Alfa;Loja Centro
PC000852;13;368,65;Fornecedor Beta;Loja Centro
PC000853;25;388,73;Fornecedor Alfa;Loja Centro
PC000854;29;382,16;Fornecedor Alfa;Loja Centro
PC000855;42;414,17;Fornecedor Beta;Loja Centro
PC000856;11;119,49;Fornecedor Delta;Loja Centro
PC000857;10;341,73;Fornecedor Alfa;Loja Centro
PC000858;15;211,56;Fornecedor Gamma;Loja Centro
PC000859;56;380,16;Fornecedor Gamma;Loja Centro
PC000860;23;329,99;Fornecedor Beta;Loja Centro
PC000861;100;351,19;Fornecedor Delta;Loja Centro
PC000862;70;298,02;Fornecedor Beta;Loja Centro
PC000863;8;86,42;Fornecedor Delta;Loja Centro
PC000864;58;248,9;Fornecedor Alfa;Loja Centro
PC000865;25;443,22;Fornecedor Alfa;Loja Centro
PC000866;43;422,33;Fornecedor Alfa;Loja Centro
PC000867;36;27,08;Fornecedor Alfa;Loja Centro
PC000868;35;80,85;Fornecedor Gamma;Loja Centro
PC000869;33;66,22;Fornecedor Gamma;Loja Centro
PC000870;12;328,88;Fornecedor Beta;Loja Centro
PC000871;28;369,46;Fornecedor Delta;Loja Centro
PC000872;14;102,37;Fornecedor Alfa;Loja Centro
PC000873;102;231,59;Fornecedor Alfa;Loja Centro
PC000874;21;379,59;Fornecedor Delta;Loja Centro
PC000875;14;331,9;Fornecedor Delta;Loja Centro
PC000876;20;247,67;Fornecedor Beta;Loja Centro
PC000877;28;268,93;Fornecedor Delta;Loja Centro
PC000878;31;232,7;Fornecedor Alfa;Loja Centro
PC000879;8;139,52;Fornecedor Alfa;Loja Centro
PC000880;51;257,74;Fornecedor Alfa;Loja Centro
PC000881;26;312,49;Fornecedor Alfa;Loja Centro
PC000882;19;394,01;Fornecedor Alfa;Loja Centro
PC000883;21;289,24;Fornecedor Beta;Loja Centro
PC000884;30;344,42;Fornecedor Alfa;Loja Centro
PC000885;61;78,75;Fornecedor Beta;Loja Centro
PC000886;50;212,01;Fornecedor Alfa;Loja Centro
PC000887;34;12,12;Fornecedor Gamma;Loja Centro
PC000888;23;117,03;Fornecedor Gamma;Loja Centro
PC000889;8;329,1;Fornecedor Gamma;Loja Centro
PC000890;13;446,38;Fornecedor Gamma;Loja Centro
PC000891;10;51,84;Fornecedor Beta;Loja Centro
PC000892;89;185,46;Fornecedor Beta;Loja Centro
PC000893;15;361,63;Fornecedor Delta;Loja Centro
PC000894;49;98,18;Fornecedor Alfa;Loja Centro
PC000895;18;253,35;Fornecedor Gamma;Loja Centro
PC000896;4;332,02;Fornecedor Beta;Loja Centro
PC000897;6;280,27;Fornecedor Alfa;Loja Centro
PC000898;33;91,11;Fornecedor Alfa;Loja Centro
PC000899;29;165,08;Fornecedor Beta;Loja Centro
PC000900;58;354,44;Fornecedor Gamma;Loja Centro
PC000901;94;252,97;Fornecedor Delta;Loja Centro
PC000902;28;10,31;Fornecedor Alfa;Loja Centro
PC000903;19;344,36;Fornecedor Delta;Loja Centro
PC000904;47;23,61;Fornecedor Gamma;Loja Centro
PC000905;46;337,61;Fornecedor Gamma;Loja Centro
PC000906;35;97,5;Fornecedor Delta;Loja Centro
PC000907;28;431,47;Fornecedor Gamma;Loja Centro
PC000908;12;170,63;Fornecedor Alfa;Loja Centro
PC000909;40;152,5;Fornecedor Delta;Loja Centro
PC000910;38;73,81;Fornecedor Gamma;Loja Centro
PC000911;66;143,08;Fornecedor Delta;Loja Centro
PC000912;52;395,48;Fornecedor Alfa;Loja Centro
PC000913;34;448,38;Fornecedor Gamma;Loja Centro
PC000914;16;170,79;Fornecedor Alfa;Loja Centro
PC000915;34;206,29;Fornecedor Gamma;Loja Centro
PC000916;13;327,16;Fornecedor Beta;Loja Centro
PC000917;58;399,7;Fornecedor Gamma;Loja Centro
PC000918;28;270,13;Fornecedor Delta;Loja Centro
PC000919;52;181,05;Fornecedor Gamma;Loja Centro
PC000920;94;190,38;Fornecedor Alfa;Loja Centro
PC000921;99;315,46;Fornecedor Alfa;Loja Centro
PC000922;33;9,42;Fornecedor Gamma;Loja Centro
PC000923;31;281,86;Fornecedor Delta;Loja Centro
PC000924;17;165,13;Fornecedor Beta;Loja Centro
PC000925;9;359,04;Fornecedor Delta;Loja Centro
PC000926;47;49,1;Fornecedor Beta;Loja Centro
PC000927;8;267,99;Fornecedor Alfa;Loja Centro
PC000928;25;220,59;Fornecedor Delta;Loja Centro
PC000929;21;291,91;Fornecedor Beta;Loja Centro
PC000930;31;36,67;Fornecedor Gamma;Loja Centro
PC000931;61;264,35;Fornecedor Alfa;Loja Centro
PC000932;31;256,18;Fornecedor Gamma;Loja Centro
PC000933;46;255,81;Fornecedor Alfa;Loja Centro
PC000934;29;274,74;Fornecedor Delta;Loja Centro
PC000935;65;307,0;Fornecedor Delta;Loja Centro
PC000936;3;363,81;Fornecedor Alfa;Loja Centro
PC000937;31;127,26;Fornecedor Alfa;Loja Centro
PC000938;23;372,67;Fornecedor Alfa;Loja Centro
PC000939;43;228,23;Fornecedor Delta;Loja Centro
PC000940;13;42,06;Fornecedor Beta;Loja Centro
PC000941;14;33,88;Fornecedor Gamma;Loja Centro
PC000942;37;155,73;Fornecedor Gamma;Loja Centro
PC000943;69;354,92;Fornecedor Delta;Loja Centro
PC000944;46;320,79;Fornecedor Gamma;Loja Centro
PC000945;44;356,57;Fornecedor Alfa;Loja Centro
PC000946;44;236,63;Fornecedor Beta;Loja Centro
PC000947;72;202,57;Fornecedor Gamma;Loja Centro
PC000948;36;73,17;Fornecedor Beta;Loja Centro
PC000949;21;153,06;Fornecedor Alfa;Loja Centro
PC000950;50;199,84;Fornecedor Gamma;Loja Centro
PC000951;8;47,16;Fornecedor Delta;Loja Centro
PC000952;57;105,51;Fornecedor Beta;Loja Centro
PC000953;45;272,42;Fornecedor Alfa;Loja Centro
PC000954;71;333,16;Fornecedor Beta;Loja Centro
PC000955;21;449,27;Fornecedor Gamma;Loja Centro
PC000956;109;420,44;Fornecedor Gamma;Loja Centro
PC000957;66;292,01;Fornecedor Delta;Loja Centro
PC000958;62;194,19;Fornecedor Alfa;Loja Centro
PC000959;6;289,19;Fornecedor Alfa;Loja Centro
PC000960;28;355,26;Fornecedor Delta;Loja Centro
PC000961;10;60,3;Fornecedor Delta;Loja Centro
PC000962;79;189,18;Fornecedor Alfa;Loja Centro
PC000963;21;379,19;Fornecedor Beta;Loja Centro
PC000964;25;177,65;Fornecedor Beta;Loja Centro
PC000965;17;260,77;Fornecedor Delta;Loja Centro
PC000966;42;267,79;Fornecedor Beta;Loja Centro
PC000967;59;89,54;Fornecedor Alfa;Loja Centro
PC000968;41;168,11;Fornecedor Gamma;Loja Centro
PC000969;8;155,85;Fornecedor Gamma;Loja Centro
PC000970;5;19,58;Fornecedor Beta;Loja Centro
PC000971;91;18,69;Fornecedor Delta;Loja Centro
PC000972;11;375,61;Fornecedor Delta;Loja Centro
PC000973;114;128,7;Fornecedor Delta;Loja Centro
PC000974;11;236,99;Fornecedor Delta;Loja Centro
PC000975;21;140,04;Fornecedor Delta;Loja Centro
PC000976;23;423,78;Fornecedor Beta;Loja Centro
PC000977;11;122,61;Fornecedor Gamma;Loja Centro
PC000978;41;197,91;Fornecedor Gamma;Loja Centro
