Produto;Fornecedor;Classe;Volatilidade;EstoqueAtual;DemandaPrevMes(un);CoberturaDias;MinDias;MaxDias;LeadTimeDias;GiroAtual;GiroAlvo;Status;QtdSugerida;CustoUnitario;ValorSugerido;CapitalParado
PC004542;Não informado;E;Baixa;1,0;0,9;31,8;55;100;15;11,49;4,71;🔴 Comprar agora;2,0;4284,51;9205,56;4284,51
PC009050;Não informado;E;Baixa;1,0;1,9;15,6;55;100;15;23,44;4,71;🔴 Comprar agora;5,0;4252,65;23062,37;4252,65
PC001297;Não informado;D;Baixa;1,0;1,0;29,5;40;75;15;12,38;6,35;🔴 Comprar agora;2,0;4247,92;6556,73;4247,92
PC004165;Não informado;E;Baixa;4,0;2,0;58,6;55;100;15;6,23;4,71;🟢 OK;0,0;1061,54;0,0;4246,16
PC000942;Não informado;E;Baixa;3,0;1,3;67,6;55;100;15;5,4;4,71;🟢 OK;0,0;1413,32;0,0;4239,96
PC005506;Não informado;D;Baixa;2,0;2,0;30,2;40;75;15;12,09;6,35;🔴 Comprar agora;3,0;2102,64;6241,87;4205,28
PC004271;Não informado;D;Baixa;1,0;1,5;19,4;40;75;15;18,83;6,35;🔴 Comprar agora;3,0;4202,43;12057,84;4202,43
PC000190;Não informado;E;Baixa;1,0;1,1;28,4;55;100;15;12,87;4,71;🔴 Comprar agora;3,0;4172,19;10537,51;4172,19
PC003283;Não informado;E;Baixa;6,0;1,9;95,9;55;100;15;3,81;4,71;🟢 OK;0,0;675,85;0,0;4055,1000000000004
PC007425;Não informado;D;Baixa;1,0;1,9;15,4;40;75;15;23,67;6,35;🔴 Comprar agora;4,0;4049,5;15642,63;4049,5
PC007256;Não informado;E;Baixa;2,0;1,3;47,2;55;100;15;7,74;4,71;🔴 Comprar agora;2,0;2004,22;4487,21;4008,44
PC008318;Não informado;D;Baixa;1,0;1,0;29,5;40;75;15;12,38;6,35;🔴 Comprar agora;2,0;3982,61;6145,1;3982,61
PC007109;Não informado;E;Baixa;2,0;0,9;63,8;55;100;15;5,72;4,71;🟢 OK;0,0;1983,25;0,0;3966,5
PC005774;Não informado;E;Baixa;4,0;2,0;59,8;55;100;15;6,1;4,71;🟢 OK;0,0;985,39;0,0;3941,56
PC007386;Não informado;E;Baixa;3,0;1,0;88,3;55;100;15;4,14;4,71;🟢 OK;0,0;1310,9;0,0;3932,7000000000003
PC003027;Não informado;E;Baixa;6,0;2,0;89,2;55;100;15;4,09;4,71;🟢 OK;0,0;654,85;0,0;3929,1000000000004
PC004122;Não informado;E;Baixa;1,0;1,0;29,3;55;100;15;12,47;4,71;🔴 Comprar agora;2,0;3899,13;9426,83;3899,13
PC008648;Não informado;E;Baixa;4,0;1,3;92,1;55;100;15;3,96;4,71;🟢 OK;0,0;971,23;0,0;3884,92
PC008458;Não informado;E;Baixa;3,0;2,0;46,1;55;100;15;7,92;4,71;🔴 Comprar agora;4,0;1286,32;4519,51;3858,96
PC000367;Não informado;E;Baixa;3,0;1,0;89,8;55;100;15;4,07;4,71;🟢 OK;0,0;1285,11;0,0;3855,33
PC003967;Não informado;E;Baixa;6,0;2,0;90,2;55;100;15;4,05;4,71;🟢 OK;0,0;639,83;0,0;3838,9800000000005
PC000916;Não informado;D;Baixa;2,0;2,0;30,2;40;75;15;12,09;6,35;🔴 Comprar agora;3,0;1905,33;5653,04;3810,66
PC009012;Não informado;E;Baixa;1,0;1,0;29,5;55;100;15;12,35;4,71;🔴 Comprar agora;2,0;3793,54;9045,85;3793,54
PC000411;Não informado;E;Baixa;6,0;2,0;88,1;55;100;15;4,14;4,71;🟢 OK;0,0;628,99;0,0;3773,94
PC008391;Não informado;E;Baixa;1,0;1,6;18,9;55;100;15;19,32;4,71;🔴 Comprar agora;4,0;3755,24;16123,66;3755,24
PC003586;Não informado;D;Baixa;1,0;1,0;31,1;40;75;15;11,73;6,35;🔴 Comprar agora;1,0;3753,69;5291,07;3753,69
PC007075;Não informado;E;Baixa;4,0;1,8;67,0;55;100;15;5,45;4,71;🟢 OK;0,0;921,86;0,0;3687,44
PC003511;Não informado;E;Baixa;3,0;2,0;44,2;55;100;15;8,25;4,71;🔴 Comprar agora;4,0;1228,21;4646,66;3684,63
PC003245;Não informado;D;Baixa;1,0;1,0;29,4;40;75;15;12,4;6,35;🔴 Comprar agora;2,0;3682,56;5704,01;3682,56
PC005881;Não informado;E;Baixa;4,0;2,0;59,9;55;100;15;6,09;4,71;🟢 OK;0,0;918,73;0,0;3674,92
PC005346;Não informado;E;Baixa;4,0;2,0;59,5;55;100;15;6,14;4,71;🟢 OK;0,0;909,87;0,0;3639,48
PC005076;Não informado;E;Baixa;3,0;1,0;88,2;55;100;15;4,14;4,71;🟢 OK;0,0;1208,4;0,0;3625,2000000000003
PC002475;Não informado;E;Baixa;3,0;1,3;67,9;55;100;15;5,38;4,71;🟢 OK;0,0;1207,64;0,0;3622,92
PC009339;Não informado;E;Baixa;2,0;1,6;38,0;55;100;15;9,6;4,71;🔴 Comprar agora;3,0;1789,35;5838,33;3578,7
PC003841;Não informado;E;Baixa;2,0;1,6;37,3;55;100;15;9,78;4,71;🔴 Comprar agora;3,0;1773,55;5958,95;3547,1
PC001399;Não informado;E;Baixa;3,0;1,0;92,1;55;100;15;3,96;4,71;🟢 OK;0,0;1179,37;0,0;3538,1099999999997
PC009156;Não informado;D;Baixa;1,0;1,3;22,7;40;75;15;16,08;6,35;🔴 Comprar agora;2,0;3530,5;8134,17;3530,5
PC008436;Não informado;E;Baixa;1,0;2,0;14,7;55;100;15;24,81;4,71;🚨 RUPTURA IMINENTE;6,0;3514,69;20372,2;3514,69
PC005530;Não informado;E;Baixa;1,0;1,7;17,5;55;100;15;20,91;4,71;🔴 Comprar agora;5,0;3500,09;16551,71;3500,09
PC008446;Não informado;E;Baixa;3,0;1,0;89,9;55;100;15;4,06;4,71;🟢 OK;0,0;1164,9;0,0;3494,7000000000003
PC009678;Não informado;E;Baixa;3,0;1,0;88,0;55;100;15;4,15;4,71;🟢 OK;0,0;1156,24;0,0;3468,7200000000003
PC002946;Não informado;E;Baixa;3,0;1,0;89,0;55;100;15;4,1;4,71;🟢 OK;0,0;1151,06;0,0;3453,18
PC006401;Não informado;E;Baixa;2,0;2,0;29,5;55;100;15;12,39;4,71;🔴 Comprar agora;5,0;1725,98;8265,38;3451,96
PC007584;Não informado;E;Baixa;6,0;2,0;89,8;55;100;15;4,06;4,71;🟢 OK;0,0;570,06;0,0;3420,3599999999997
PC005941;Não informado;E;Baixa;3,0;1,3;67,8;55;100;15;5,38;4,71;🟢 OK;0,0;1118,16;0,0;3354,4800000000005
PC000977;Não informado;E;Baixa;1,0;1,0;28,8;55;100;15;12,68;4,71;🔴 Comprar agora;2,0;3350,58;8285,09;3350,58
PC004643;Não informado;E;Média;3,0;1,7;53,3;55;100;15;6,84;4,71;🔴 Comprar agora;3,0;1110,37;2913,48;3331,1099999999997
PC000484;Não informado;E;Baixa;7,0;2,0;106,3;55;100;15;3,43;4,71;🟡 Estoque excessivo;0,0;473,73;0,0;3316,11
PC009047;Não informado;E;Baixa;2,0;2,0;29,8;55;100;15;12,24;4,71;🔴 Comprar agora;5,0;1657,83;7806,24;3315,66
PC006600;Não informado;E;Baixa;3,0;1,6;57,1;55;100;15;6,4;4,71;🟢 OK;0,0;1101,19;0,0;3303,57
PC008594;Não informado;E;Baixa;4,0;1,4;87,2;55;100;15;4,19;4,71;🟢 OK;0,0;820,93;0,0;3283,72
PC003849;Não informado;E;Baixa;5,0;1,8;82,3;55;100;15;4,43;4,71;🟢 OK;0,0;654,34;0,0;3271,7000000000003
PC007612;Não informado;E;Baixa;1,0;1,6;18,3;55;100;15;19,91;4,71;🔴 Comprar agora;4,0;3264,79;14541,85;3264,79
PC000066;Não informado;E;Baixa;3,0;2,0;44,9;55;100;15;8,13;4,71;🔴 Comprar agora;4,0;1077,47;3964,3;3232,41
PC007358;Não informado;E;Baixa;2,0;1,0;58,4;55;100;15;6,25;4,71;🟢 OK;0,0;1614,04;0,0;3228,08
PC003375;Não informado;E;Baixa;2,0;0,9;67,1;55;100;15;5,44;4,71;🟢 OK;0,0;1610,23;0,0;3220,46
PC005127;Não informado;E;Baixa;2,0;1,0;60,2;55;100;15;6,06;4,71;🟢 OK;0,0;1607,55;0,0;3215,1
PC001302;Não informado;E;Baixa;4,0;1,9;62,4;55;100;15;5,85;4,71;🟢 OK;0,0;802,83;0,0;3211,32
PC006718;Não informado;E;Baixa;1,0;2,0;14,8;55;100;15;24,64;4,71;🚨 RUPTURA IMINENTE;6,0;3206,61;18440,56;3206,61
PC001751;Não informado;E;Baixa;1,0;1,7;17,9;55;100;15;20,37;4,71;🔴 Comprar agora;5,0;3200,23;14658,42;3200,23
PC004569;Não informado;E;Baixa;1,0;1,5;19,6;55;100;15;18,58;4,71;🔴 Comprar agora;4,0;3167,39;12959,84;3167,39
PC007557;Não informado;E;Baixa;2,0;1,3;46,2;55;100;15;7,9;4,71;🔴 Comprar agora;2,0;1560,75;3637,15;3121,5
PC005842;Não informado;E;Baixa;3,0;1,0;87,4;55;100;15;4,18;4,71;🟢 OK;0,0;1037,64;0,0;3112,92
PC001317;Não informado;E;Baixa;3,0;1,0;91,0;55;100;15;4,01;4,71;🟢 OK;0,0;1030,14;0,0;3090,42
PC009471;Não informado;E;Baixa;3,0;2,0;44,9;55;100;15;8,13;4,71;🔴 Comprar agora;4,0;1027,35;3783,45;3082,0499999999997
PC006738;Não informado;E;Média;3,0;1,6;55,8;55;100;15;6,54;4,71;🟢 OK;0,0;1027,29;0,0;3081,87
PC000651;Não informado;E;Baixa;4,0;1,9;62,2;55;100;15;5,87;4,71;🟢 OK;0,0;767,01;0,0;3068,04
PC000591;Não informado;E;Baixa;6,0;1,8;98,8;55;100;15;3,69;4,71;🟢 OK;0,0;510,72;0,0;3064,32
PC001980;Não informado;E;Baixa;1,0;1,0;31,3;55;100;15;11,65;4,71;🔴 Comprar agora;2,0;3060,34;6711,41;3060,34
PC006126;Não informado;E;Baixa;2,0;1,0;58,6;55;100;15;6,22;4,71;🟢 OK;0,0;1529,36;0,0;3058,72
PC009759;Não informado;E;Baixa;4,0;1,4;88,1;55;100;15;4,14;4,71;🟢 OK;0,0;761,37;0,0;3045,48
PC008713;Não informado;E;Baixa;5,0;1,8;81,6;55;100;15;4,47;4,71;🟢 OK;0,0;608,45;0,0;3042,25
PC000746;Não informado;E;Baixa;3,0;0,9;96,4;55;100;15;3,79;4,71;🟢 OK;0,0;1013,26;0,0;3039,7799999999997
PC005063;Não informado;E;Baixa;5,0;2,0;76,7;55;100;15;4,76;4,71;🟢 OK;0,0;607,74;0,0;3038,7
PC008121;Não informado;E;Baixa;5,0;2,0;74,2;55;100;15;4,92;4,71;🟢 OK;0,0;605,75;0,0;3028,75
PC001747;Não informado;E;Baixa;6,0;2,0;91,2;55;100;15;4,0;4,71;🟢 OK;0,0;503,88;0,0;3023,2799999999997
PC003620;Não informado;E;Baixa;5,0;2,0;73,9;55;100;15;4,94;4,71;🟢 OK;0,0;599,92;0,0;2999,6
PC006907;Não informado;E;Baixa;4,0;1,2;97,5;55;100;15;3,74;4,71;🟢 OK;0,0;745,2;0,0;2980,8
PC002725;Não informado;E;Baixa;4,0;2,0;59,2;55;100;15;6,16;4,71;🟢 OK;0,0;743,22;0,0;2972,88
PC005621;Não informado;E;Baixa;3,0;1,6;57,5;55;100;15;6,35;4,71;🟢 OK;0,0;989,85;0,0;2969,55
PC004679;Não informado;E;Baixa;3,0;1,0;91,0;55;100;15;4,01;4,71;🟢 OK;0,0;979,61;0,0;2938,83
PC001956;Não informado;E;Baixa;3,0;1,4;65,7;55;100;15;5,56;4,71;🟢 OK;0,0;977,49;0,0;2932,4700000000003
PC002378;Não informado;E;Baixa;4,0;2,0;59,9;55;100;15;6,09;4,71;🟢 OK;0,0;725,37;0,0;2901,48
PC003182;Não informado;E;Baixa;3,0;1,1;84,1;55;100;15;4,34;4,71;🟢 OK;0,0;966,3;0,0;2898,8999999999996
PC009751;Não informado;E;Baixa;2,0;2,0;29,7;55;100;15;12,3;4,71;🔴 Comprar agora;5,0;1440,17;6823,6;2880,34
PC002579;Não informado;E;Baixa;3,0;1,4;65,8;55;100;15;5,55;4,71;🟢 OK;0,0;959,56;0,0;2878,68
PC009418;Não informado;E;Baixa;2,0;1,0;62,4;55;100;15;5,85;4,71;🟢 OK;0,0;1436,36;0,0;2872,72
PC000892;Não informado;E;Baixa;1,0;1,9;15,7;55;100;15;23,32;4,71;🔴 Comprar agora;5,0;2859,34;15407,94;2859,34
PC007141;Não informado;E;Baixa;2,0;1,9;32,3;55;100;15;11,29;4,71;🔴 Comprar agora;4,0;1429,28;5983,32;2858,56
PC007937;Não informado;E;Baixa;1,0;0,9;33,2;55;100;15;11,01;4,71;🔴 Comprar agora;2,0;2825,08;5696,34;2825,08
PC001836;Não informado;E;Baixa;6,0;1,9;95,7;55;100;15;3,81;4,71;🟢 OK;0,0;464,14;0,0;2784,84
PC002275;Não informado;E;Baixa;2,0;1,6;36,7;55;100;15;9,94;4,71;🔴 Comprar agora;3,0;1386,19;4777,39;2772,38
PC007374;Não informado;E;Baixa;3,0;1,0;89,0;55;100;15;4,1;4,71;🟢 OK;0,0;918,68;0,0;2756,04
PC005632;Não informado;E;Baixa;3,0;1,3;71,0;55;100;15;5,14;4,71;🟢 OK;0,0;918,65;0,0;2755,95
PC006384;Não informado;E;Baixa;3,0;1,9;47,7;55;100;15;7,66;4,71;🔴 Comprar agora;3,0;915,34;3015,13;2746,02
PC000730;Não informado;E;Baixa;1,0;1,9;15,4;55;100;15;23,63;4,71;🔴 Comprar agora;5,0;2740,32;15002,49;2740,32
PC003114;Não informado;E;Baixa;5,0;2,0;74,0;55;100;15;4,93;4,71;🟢 OK;0,0;542,89;0,0;2714,45
PC009439;Não informado;E;Baixa;2,0;0,9;64,0;55;100;15;5,7;4,71;🟢 OK;0,0;1352,81;0,0;2705,62
PC002751;Não informado;E;Baixa;3,0;1,0;88,8;55;100;15;4,11;4,71;🟢 OK;0,0;900,21;0,0;2700,63
PC005791;Não informado;E;Baixa;2,0;1,0;61,9;55;100;15;5,9;4,71;🟢 OK;0,0;1346,02;0,0;2692,04
PC000129;Não informado;E;Baixa;1,0;1,0;29,5;55;100;15;12,39;4,71;🔴 Comprar agora;2,0;2688,23;6434,43;2688,23
PC009288;Não informado;E;Baixa;2,0;1,0;59,0;55;100;15;6,19;4,71;🟢 OK;0,0;1341,42;0,0;2682,84
PC004607;Não informado;E;Baixa;3,0;1,9;47,1;55;100;15;7,75;4,71;🔴 Comprar agora;3,0;891,59;3004,4;2674,77
PC000027;Não informado;E;Baixa;5,0;2,0;74,5;55;100;15;4,9;4,71;🟢 OK;0,0;534,68;0,0;2673,3999999999996
PC001418;Não informado;E;Baixa;2,0;2,0;30,5;55;100;15;11,98;4,71;🔴 Comprar agora;5,0;1328,0;6062,47;2656,0
PC001072;Não informado;E;Baixa;3,0;2,0;44,6;55;100;15;8,18;4,71;🔴 Comprar agora;4,0;883,38;3288,08;2650,14
PC008887;Não informado;E;Baixa;2,0;1,0;57,8;55;100;15;6,32;4,71;🟢 OK;0,0;1315,45;0,0;2630,9
PC001826;Não informado;E;Baixa;4,0;1,9;61,8;55;100;15;5,9;4,71;🟢 OK;0,0;657,12;0,0;2628,48
PC007863;Não informado;E;Baixa;3,0;1,0;90,5;55;100;15;4,04;4,71;🟢 OK;0,0;873,41;0,0;2620,23
PC008874;Não informado;E;Baixa;5,0;1,8;85,4;55;100;15;4,27;4,71;🟢 OK;0,0;523,38;0,0;2616,9
PC009682;Não informado;E;Baixa;3,0;2,0;44,0;55;100;15;8,3;4,71;🔴 Comprar agora;4,0;871,25;3332,33;2613,75
PC005035;Não informado;E;Baixa;2,0;1,0;58,4;55;100;15;6,25;4,71;🟢 OK;0,0;1298,19;0,0;2596,38
PC001687;Não informado;E;Baixa;2,0;1,0;61,0;55;100;15;5,98;4,71;🟢 OK;0,0;1296,98;0,0;2593,96
PC002133;Não informado;E;Baixa;3,0;1,8;50,6;55;100;15;7,22;4,71;🔴 Comprar agora;3,0;863,98;2535,17;2591,94
PC000856;Não informado;E;Baixa;1,0;1,9;15,5;55;100;15;23,62;4,71;🔴 Comprar agora;5,0;2588,81;14162,12;2588,81
PC009538;Não informado;E;Baixa;2,0;1,0;59,0;55;100;15;6,19;4,71;🟢 OK;0,0;1288,95;0,0;2577,9
PC005819;Não informado;E;Baixa;2,0;1,4;42,8;55;100;15;8,52;4,71;🔴 Comprar agora;3,0;1279,97;3417,17;2559,94
PC000677;Não informado;E;Baixa;2,0;1,0;59,6;55;100;15;6,13;4,71;🟢 OK;0,0;1272,78;0,0;2545,56
PC007159;Não informado;E;Baixa;2,0;1,6;37,5;55;100;15;9,72;4,71;🔴 Comprar agora;3,0;1272,64;4235,89;2545,28
PC004899;Não informado;E;Baixa;2,0;1,0;59,9;55;100;15;6,1;4,71;🟢 OK;0,0;1266,91;0,0;2533,82
PC008134;Não informado;E;Baixa;3,0;1,0;87,8;55;100;15;4,16;4,71;🟢 OK;0,0;842,84;0,0;2528,52
PC009034;Não informado;E;Baixa;2,0;1,0;58,9;55;100;15;6,2;4,71;🟢 OK;0,0;1262,17;0,0;2524,34
PC001688;Não informado;E;Baixa;1,0;1,0;29,0;55;100;15;12,61;4,71;🔴 Comprar agora;2,0;2522,59;6190,91;2522,59
PC006162;Não informado;E;Baixa;3,0;1,0;92,6;55;100;15;3,94;4,71;🟢 OK;0,0;839,75;0,0;2519,25
PC009198;Não informado;E;Baixa;3,0;1,7;53,9;55;100;15;6,78;4,71;🔴 Comprar agora;3,0;838,91;2154,98;2516,73
PC004004;Não informado;E;Baixa;4,0;2,0;58,9;55;100;15;6,2;4,71;🟢 OK;0,0;627,26;0,0;2509,04
PC005987;Não informado;E;Baixa;4,0;1,3;89,0;55;100;15;4,1;4,71;🟢 OK;0,0;624,5;0,0;2498,0
PC001669;Não informado;E;Baixa;3,0;1,3;69,1;55;100;15;5,28;4,71;🟢 OK;0,0;832,65;0,0;2497,95
PC009126;Não informado;E;Baixa;3,0;1,3;70,0;55;100;15;5,21;4,71;🟢 OK;0,0;827,52;0,0;2482,56
PC002552;Não informado;E;Baixa;6,0;1,8;102,0;55;100;15;3,58;4,71;🟡 Estoque excessivo;0,0;411,34;0,0;2468,04
PC001474;Não informado;E;Baixa;1,0;1,0;29,2;55;100;15;12,52;4,71;🔴 Comprar agora;2,0;2458,85;5974,33;2458,85
PC000030;Não informado;E;Baixa;2,0;1,9;32,2;55;100;15;11,33;4,71;🔴 Comprar agora;4,0;1227,62;5168,74;2455,24
PC002551;Não informado;E;Baixa;2,0;1,0;58,0;55;100;15;6,29;4,71;🟢 OK;0,0;1224,63;0,0;2449,26
PC001702;Não informado;E;Baixa;3,0;1,0;89,1;55;100;15;4,1;4,71;🟢 OK;0,0;810,9;0,0;2432,7
PC005867;Não informado;E;Baixa;2,0;1,0;57,8;55;100;15;6,32;4,71;🟢 OK;0,0;1212,36;0,0;2424,72
PC005574;Não informado;E;Baixa;3,0;1,6;57,7;55;100;15;6,32;4,71;🟢 OK;0,0;802,92;0,0;2408,7599999999998
PC003263;Não informado;E;Baixa;3,0;1,0;89,0;55;100;15;4,1;4,71;🟢 OK;0,0;801,04;0,0;2403,12
PC007894;Não informado;E;Baixa;2,0;1,6;38,6;55;100;15;9,46;4,71;🔴 Comprar agora;3,0;1197,61;3815,28;2395,22
PC008302;Não informado;E;Baixa;5,0;2,0;73,6;55;100;15;4,96;4,71;🟢 OK;0,0;478,89;0,0;2394,45
PC000891;Não informado;E;Baixa;1,0;1,2;25,1;55;100;15;14,57;4,71;🔴 Comprar agora;3,0;2390,98;7150,95;2390,98
PC004819;Não informado;E;Baixa;4,0;1,3;91,7;55;100;15;3,98;4,71;🟢 OK;0,0;595,24;0,0;2380,96
PC008325;Não informado;E;Baixa;1,0;1,0;30,0;55;100;15;12,18;4,71;🔴 Comprar agora;2,0;2379,31;5561,94;2379,31
PC005674;Não informado;E;Baixa;4,0;1,6;73,1;55;100;15;4,99;4,71;🟢 OK;0,0;593,77;0,0;2375,08
PC000032;Não informado;E;Baixa;4,0;1,8;65,2;55;100;15;5,6;4,71;🟢 OK;0,0;586,0;0,0;2344,0
PC007919;Não informado;E;Baixa;2,0;1,8;33,5;55;100;15;10,91;4,71;🔴 Comprar agora;4,0;1164,01;4630,58;2328,02
PC004631;Não informado;E;Baixa;1,0;1,0;30,1;55;100;15;12,14;4,71;🔴 Comprar agora;2,0;2316,97;5389,92;2316,97
PC005975;Não informado;E;Baixa;1,0;1,0;30,1;55;100;15;12,12;4,71;🔴 Comprar agora;2,0;2315,68;5374,83;2315,68
PC005029;Não informado;E;Baixa;3,0;1,0;87,4;55;100;15;4,18;4,71;🟢 OK;0,0;756,17;0,0;2268,5099999999998
PC000778;Não informado;E;Baixa;4,0;2,0;59,0;55;100;15;6,19;4,71;🟢 OK;0,0;565,94;0,0;2263,76
PC004016;Não informado;E;Baixa;3,0;1,3;69,0;55;100;15;5,29;4,71;🟢 OK;0,0;752,07;0,0;2256,21
PC007317;Não informado;E;Baixa;4,0;1,2;97,0;55;100;15;3,76;4,71;🟢 OK;0,0;564,02;0,0;2256,08
PC007510;Não informado;E;Baixa;7,0;1,9;110,4;55;100;15;3,31;4,71;🟡 Estoque excessivo;0,0;322,13;0,0;2254,91
PC002671;Não informado;E;Baixa;3,0;1,9;46,2;55;100;15;7,9;4,71;🔴 Comprar agora;3,0;751,0;2623,46;2253,0
PC006750;Não informado;E;Baixa;3,0;2,0;44,6;55;100;15;8,19;4,71;🔴 Comprar agora;4,0;750,31;2797,93;2250,93
PC003260;Não informado;E;Baixa;2,0;1,6;37,8;55;100;15;9,66;4,71;🔴 Comprar agora;3,0;1122,79;3697,95;2245,58
PC003946;Não informado;E;Baixa;3,0;0,9;96,8;55;100;15;3,77;4,71;🟢 OK;0,0;748,3;0,0;2244,8999999999996
PC008889;Não informado;E;Baixa;4,0;2,0;59,3;55;100;15;6,16;4,71;🟢 OK;0,0;560,54;0,0;2242,16
PC001989;Não informado;E;Baixa;3,0;1,9;47,4;55;100;15;7,7;4,71;🔴 Comprar agora;3,0;746,49;2487,05;2239,4700000000003
PC000492;Não informado;E;Baixa;3,0;1,3;67,3;55;100;15;5,42;4,71;🟢 OK;0,0;740,55;0,0;2221,6499999999996
PC005087;Não informado;E;Baixa;2,0;1,7;34,6;55;100;15;10,56;4,71;🔴 Comprar agora;4,0;1109,18;4201,27;2218,36
PC001774;Não informado;E;Baixa;3,0;1,0;90,6;55;100;15;4,03;4,71;🟢 OK;0,0;734,6;0,0;2203,8
PC000542;Não informado;E;Baixa;2,0;1,0;58,2;55;100;15;6,27;4,71;🟢 OK;0,0;1096,8;0,0;2193,6
PC002206;Não informado;E;Baixa;2,0;1,0;58,8;55;100;15;6,21;4,71;🟢 OK;0,0;1094,21;0,0;2188,42
PC003257;Não informado;E;Baixa;3,0;1,0;89,3;55;100;15;4,09;4,71;🟢 OK;0,0;728,0;0,0;2184,0
PC005575;Não informado;E;Baixa;4,0;1,9;63,3;55;100;15;5,76;4,71;🟢 OK;0,0;541,54;0,0;2166,16
PC008400;Não informado;E;Baixa;3,0;1,0;87,1;55;100;15;4,19;4,71;🟢 OK;0,0;721,72;0,0;2165,16
PC005360;Não informado;E;Baixa;4,0;2,0;59,8;55;100;15;6,1;4,71;🟢 OK;0,0;541,05;0,0;2164,2
PC001901;Não informado;E;Baixa;2,0;1,0;60,9;55;100;15;5,99;4,71;🟢 OK;0,0;1077,16;0,0;2154,32
PC002075;Não informado;E;Baixa;2,0;2,0;29,7;55;100;15;12,29;4,71;🔴 Comprar agora;5,0;1075,81;5091,96;2151,62
PC008965;Não informado;E;Baixa;3,0;1,0;90,2;55;100;15;4,05;4,71;🟢 OK;0,0;714,5;0,0;2143,5
PC001109;Não informado;E;Baixa;7,0;2,0;103,1;55;100;15;3,54;4,71;🟡 Estoque excessivo;0,0;306,14;0,0;2142,98
PC009631;Não informado;E;Baixa;2,0;0,9;67,3;55;100;15;5,43;4,71;🟢 OK;0,0;1058,25;0,0;2116,5
PC003632;Não informado;E;Baixa;2,0;1,6;37,3;55;100;15;9,8;4,71;🔴 Comprar agora;3,0;1045,49;3521,03;2090,98
PC009175;Não informado;E;Baixa;1,0;1,3;23,4;55;100;15;15,62;4,71;🔴 Comprar agora;3,0;2078,27;6814,63;2078,27
PC002327;Não informado;D;Baixa;1,0;2,0;15,1;40;75;15;24,17;6,35;🔴 Comprar agora;4,0;2075,48;8232,92;2075,48
PC002356;Não informado;E;Baixa;2,0;2,0;29,6;55;100;15;12,32;4,71;🔴 Comprar agora;5,0;1037,58;4927,81;2075,16
PC006680;Não informado;E;Baixa;1,0;1,6;18,4;55;100;15;19,88;4,71;🔴 Comprar agora;4,0;2069,35;9202,43;2069,35
PC001290;Não informado;E;Baixa;2,0;1,9;32,2;55;100;15;11,35;4,71;🔴 Comprar agora;4,0;1030,21;4348,34;2060,42
PC004591;Não informado;E;Baixa;3,0;2,0;45,8;55;100;15;7,96;4,71;🔴 Comprar agora;4,0;685,69;2429,66;2057,07
PC009545;Não informado;E;Baixa;3,0;1,0;91,6;55;100;15;3,99;4,71;🟢 OK;0,0;685,59;0,0;2056,77
PC002436;Não informado;E;Baixa;2,0;1,0;58,1;55;100;15;6,28;4,71;🟢 OK;0,0;1021,64;0,0;2043,28
PC001217;Não informado;E;Baixa;1,0;1,0;29,7;55;100;15;12,31;4,71;🔴 Comprar agora;2,0;2037,59;4833,06;2037,59
PC007512;Não informado;E;Baixa;1,0;1,1;27,6;55;100;15;13,2;4,71;🔴 Comprar agora;3,0;2035,22;5326,82;2035,22
PC008350;Não informado;E;Baixa;2,0;2,0;30,5;55;100;15;11,98;4,71;🔴 Comprar agora;5,0;1016,11;4635,31;2032,22
PC002882;Não informado;E;Baixa;1,0;1,0;31,2;55;100;15;11,7;4,71;🔴 Comprar agora;2,0;1995,5;4401,5;1995,5
PC002142;Não informado;E;Baixa;2,0;2,0;29,6;55;100;15;12,31;4,71;🔴 Comprar agora;5,0;997,54;4735,78;1995,08
PC009578;Não informado;E;Baixa;6,0;2,0;88,4;55;100;15;4,13;4,71;🟢 OK;0,0;331,33;0,0;1987,98
PC002357;Não informado;E;Baixa;2,0;1,6;37,1;55;100;15;9,85;4,71;🔴 Comprar agora;3,0;992,95;3371,74;1985,9
PC004299;Não informado;E;Baixa;2,0;1,6;38,1;55;100;15;9,59;4,71;🔴 Comprar agora;3,0;988,95;3219,89;1977,9
PC006583;Não informado;E;Baixa;3,0;1,0;89,5;55;100;15;4,08;4,71;🟢 OK;0,0;658,41;0,0;1975,23
PC009186;Não informado;E;Baixa;2,0;2,0;30,0;55;100;15;12,17;4,71;🔴 Comprar agora;5,0;987,13;4609,44;1974,26
PC006309;Não informado;E;Baixa;3,0;2,0;44,0;55;100;15;8,29;4,71;🔴 Comprar agora;4,0;655,59;2500,41;1966,77
PC000464;Não informado;E;Baixa;3,0;1,4;66,6;55;100;15;5,48;4,71;🟢 OK;0,0;643,6;0,0;1930,8000000000002
PC009881;Não informado;E;Baixa;1,0;1,9;15,5;55;100;15;23,61;4,71;🔴 Comprar agora;5,0;1930,1;10557,28;1930,1
PC004033;Não informado;E;Baixa;1,0;2,0;15,0;55;100;15;24,33;4,71;🔴 Comprar agora;6,0;1926,98;10916,06;1926,98
PC009991;Não informado;E;Baixa;1,0;0,9;33,7;55;100;15;10,81;4,71;🔴 Comprar agora;2,0;1918,4;3765,78;1918,4
PC000338;Não informado;E;Baixa;2,0;1,9;31,1;55;100;15;11,73;4,71;🔴 Comprar agora;4,0;956,82;4236,41;1913,64
